model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,conv,524288,25.318306159973144,4.829083663935307e-05,1.8226312686230308,0.7266168087508362,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,conv,2359296,18.403953647613527,7.800612406248952e-06,1.324876205085944,0.11737332561167091,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,conv,1048576,11.645325330587534,1.1105847673976454e-05,0.838331519759108,0.16710614594656925,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,conv,2097152,42.82855560302735,2.0422246743692087e-05,3.0831708937720084,0.3072870297784614,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,conv,1048576,24.140172958374023,2.302186294400599e-05,1.737819022564,0.34640262517714915,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,conv,2359296,62.41973104232397,2.6456930814244576e-05,4.493513620458565,0.39808899525095476,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv3,conv,1048576,22.20318295405461,2.1174605325750934e-05,1.5983776821134994,0.3186075292764222,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv1,conv,1048576,18.447313261032104,1.7592728863746742e-05,1.3279976061272603,0.26471217717063006,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv2,conv,2359296,12.44849427541097,5.276359674839855e-06,0.8961505864680998,0.07939170028024382,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv3,conv,1048576,5.955266650985269,5.679384852395314e-06,0.42871174487311053,0.08545589151695025,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,fc,linear,20480,5.078143247338229,0.000247956213248937,0.3655687947947372,3.7309180150766186,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_fused,conv1,conv,1728,199.67421889305115,0.11555221000755275,12.26335362126219,982.7461210575219,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,conv,4096,4.124195125867736,0.0010068835756513028,0.2532949096382422,8.563323265415425,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,conv,36864,5.685314379240337,0.0001542240228743581,0.34917387466037736,1.3116413804959286,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,conv,16384,2.8326670651634536,0.00017289227692648032,0.17397337575167196,1.4704107736164957,0.20632861938722824,0.12181014028750507
