model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,219.125064752141,80.56,80.44,0.12000000000000455,75.73,0.27000000000001023
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,64.26608755923154,80.56,80.28,0.28000000000000114,75.72,0.2600000000000051
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,16.48446031858524,80.56,80.43,0.12999999999999545,76.19,0.730000000000004
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,10.07060154080391,80.56,80.41,0.15000000000000568,75.93,0.4700000000000131
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,30.9089526281907,80.56,80.61,-0.04999999999999716,75.5,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,5.648021396588195,80.56,80.57,-0.009999999999990905,75.48,0.020000000000010232
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,19.40712256077677,80.56,80.58,-0.01999999999999602,75.46,0.0
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,30.169956476898754,80.56,80.44,0.12000000000000455,75.58,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,9.01698795737078,80.56,80.63,-0.06999999999999318,75.32,-0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,13.122517422393516,80.56,80.71,-0.14999999999999147,75.46,0.0
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,27.039541803590662,80.56,80.48,0.0799999999999983,75.61,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,3.264104516389444,80.56,80.69,-0.12999999999999545,75.38,-0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,8.239005318812785,80.56,80.68,-0.12000000000000455,75.36,-0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,17.914294745471025,80.56,80.58,-0.01999999999999602,75.17,-0.28999999999999204
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,2.519943120319452,80.56,80.78,-0.21999999999999886,75.77,0.3100000000000023
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,1.66456843607805,80.56,80.68,-0.12000000000000455,75.47,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,3.589457088046604,80.56,80.7,-0.14000000000000057,75.51,0.05000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1,3.378081816320236,80.56,80.7,-0.14000000000000057,75.25,-0.20999999999999375
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2,1.7389115584748132,80.56,80.61,-0.04999999999999716,75.45,-0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3,2.69762098259396,80.56,80.56,0.0,75.34,-0.11999999999999034
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1,4.58018182143569,80.56,80.65,-0.09000000000000341,75.52,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2,0.9338966512254306,80.56,80.62,-0.060000000000002274,75.53,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3,1.7968206130541289,80.56,80.48,0.0799999999999983,75.44,-0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1,2.049409124182492,80.56,80.57,-0.009999999999990905,75.28,-0.1799999999999926
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,0.7322613652105685,80.56,80.55,0.010000000000005116,75.09,-0.36999999999999034
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3,2.215684361755848,80.56,80.59,-0.030000000000001137,75.43,-0.029999999999986926
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1,4.46999588453058,80.56,80.76,-0.20000000000000284,75.36,-0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,0.6501170301691015,80.56,80.38,0.18000000000000682,75.55,0.09000000000000341
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3,2.563781017727322,80.56,80.47,0.09000000000000341,75.51,0.05000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1,1.8648015739435848,80.56,80.56,0.0,75.66,0.20000000000000284
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,0.7436659923539712,80.56,80.55,0.010000000000005116,75.5,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3,6.263467139386116,80.56,80.59,-0.030000000000001137,75.52,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1,36.9446935507716,80.56,80.49,0.07000000000000739,75.36,-0.09999999999999432
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2,6.632978122681379,80.56,80.45,0.10999999999999943,75.33,-0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,73.68705788174191,80.56,80.53,0.030000000000001137,75.24,-0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,80.71838898354389,80.56,80.2,0.35999999999999943,76.2,0.7400000000000091
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,17.313284939733045,80.56,80.56,0.0,75.61,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,75.27235912454539,80.56,80.53,0.030000000000001137,75.53,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,129.57223289891294,80.56,80.61,-0.04999999999999716,75.52,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,6.125518001042879,80.56,80.35,0.21000000000000796,75.69,0.23000000000000398
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,25.711220093493196,80.56,80.61,-0.04999999999999716,75.39,-0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,30.488268986726418,80.56,80.58,-0.01999999999999602,75.2,-0.2599999999999909
resnet50_no_weights,CIFAR10,PTQ,fc,17.41729800597481,80.56,80.46,0.10000000000000853,74.88,-0.5799999999999983
resnet50_no_weights,CIFAR10,QAT,conv1,183.24382030602655,80.56,81.91,-1.3499999999999943,83.91,-0.5300000000000011
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,2.399101393019899,80.56,80.82,-0.2599999999999909,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,3.974055928714348,80.56,80.4,0.1599999999999966,84.51,0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,1.5170979227049877,80.56,80.3,0.2600000000000051,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,3.216872658048357,80.56,80.4,0.1599999999999966,84.5,0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,3.987918169602104,80.56,80.43,0.12999999999999545,84.37,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,2.4508184506779624,80.56,80.48,0.0799999999999983,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,1.0229292584432137,80.56,80.36,0.20000000000000284,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,4.728630147482219,80.56,80.2,0.35999999999999943,84.5,0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,4.788353024645055,80.56,80.72,-0.1599999999999966,84.23,-0.20999999999999375
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,2.3589966618097744,80.56,80.57,-0.009999999999990905,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,15.995418913224164,80.56,80.78,-0.21999999999999886,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,24.12667251402332,80.56,80.89,-0.3299999999999983,84.62,0.18000000000000682
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,11.02279040813446,80.56,80.89,-0.3299999999999983,84.67,0.23000000000000398
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,15.9504011581684,80.56,81.01,-0.45000000000000284,84.4,-0.03999999999999204
