model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv3,0.040638473871998926,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.downsample.0,0.5350789826353166,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv1,-0.6949582974738648,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv2,-0.28510311069153627,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv3,0.05300081101699927,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv1,-0.8146728442938915,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv2,-0.4985440532867367,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv3,0.010015650942484022,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv1,-0.7196622587266805,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv2,-0.27093493510577993,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv3,0.2702821054045179,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv1,-1.0622847233875916,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv2,-0.5399070487630082,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv3,0.1720646187703938,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv1,-0.973580639318226,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv2,-1.1655209669019468,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv3,-0.43955924296819493,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv1,0.3819192293708351,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv2,-0.053034048358386876,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv3,0.42812516265426837,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.downsample.0,2.5507093777005627,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv1,0.7185298568959393,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv2,1.0710796089968575,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv3,2.600952905961021,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv1,-0.4448802197257784,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,0.16727996872300555,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,-0.32650755656593855,1.0
resnet50_no_weights,CIFAR10,ptq,fc,0.985597631997424,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,0.01157060011130251,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,0.07692101459834388,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,0.19889751336763295,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,0.3250011154419745,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,0.012811819861918039,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,0.10939340603533454,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,0.20281691310046357,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,0.1359261300582184,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,0.04304019838733231,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,-0.036626925562932566,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,0.20466585767604695,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,0.26472393296921215,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,0.0004543253461553043,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,0.1942103502737056,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,-0.005272019151082219,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,0.020770624384497616,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,-0.07959192386448066,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,-0.1856656417284821,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,-0.10501340490658073,1.0
