model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv3,conv,262144,12.505676322513157,4.7705369272282245e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv3,conv,262144,13.252321757050074,5.0553595569801614e-05,0.9257231837888926,0.7693317897213231,0.29455040615278455,0.3657531670558129,aggregate,3,0.6556550561512191
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,conv,262144,16.69755539141203,6.369611889424145e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,conv,262144,17.621856530507404,6.722204792216265e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,conv,262144,16.732070229270242,6.382778255184266e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,conv,262144,17.017160717063227,6.491531645608226e-05,1.1887109660363133,0.9878904957517308,0.29455040615278455,0.3657531670558129,aggregate,3,0.5239662094121931
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,conv,589824,29.721752783831427,5.039088403291732e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,conv,589824,35.37535540262858,5.9976120677742135e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,conv,589824,31.495519483411634,5.339816535680412e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,conv,589824,32.19754255662388,5.458839002248786e-05,2.2491162040975787,0.830733864142653,0.29455040615278455,0.3657531670558129,aggregate,3,2.891441325586476
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,conv,262144,15.768285295237666,6.015123479933802e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,conv,262144,14.3153888185819,5.460887458260307e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,conv,262144,17.75535786151886,6.773131508452934e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,conv,262144,15.946343991779475,6.083047482215681e-05,1.1139104981366623,0.9257267962258107,0.29455040615278455,0.3657531670558129,aggregate,3,1.7268831543135112
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,conv,262144,17.966425514221193,6.853647428215482e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,conv,262144,17.503366152445476,6.677004300096694e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,conv,262144,19.39453012293035,7.398426102802411e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,conv,262144,18.288107263199006,6.976359277038195e-05,1.2774912344816067,1.0616722525566171,0.29455040615278455,0.3657531670558129,aggregate,3,0.9857660227123365
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,conv,589824,31.5394023548473,5.347256529888119e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,conv,589824,26.75070849524604,4.5353713133487346e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,conv,589824,31.178786822727748,5.2861170150295255e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,conv,589824,29.822965890940363,5.056248286088793e-05,2.083243332052502,0.7694670377779677,0.29455040615278455,0.3657531670558129,aggregate,3,2.6667555230186197
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,conv,262144,12.098396513197157,4.615172009734023e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,conv,262144,15.205800027558297,5.8005523786767185e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,conv,262144,15.489930311838785,5.908939480529322e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,conv,262144,14.264708950864746,5.441554622980021e-05,0.9964421350388234,0.8281035027831528,0.29455040615278455,0.3657531670558129,aggregate,3,1.8814528130692776
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,conv,262144,18.090497085026332,6.900976976404698e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,conv,262144,18.742629253503047,7.149745656396121e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,conv,262144,14.202176729838053,5.4177004737236224e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,conv,262144,17.01176768945581,6.48947436884148e-05,1.1883342433171908,0.9875774164545862,0.29455040615278455,0.3657531670558129,aggregate,3,2.4549277202322903
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,conv,589824,13.500013545155525,2.288820655849122e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,conv,589824,13.755586478445265,2.3321510278397054e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,conv,589824,15.844125556945801,2.6862463305911256e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,conv,589824,14.36657519351553,2.4357393380933175e-05,1.0035578649611767,0.37067426819969646,0.29455040615278455,0.3657531670558129,aggregate,3,1.2859609980136546
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,conv,262144,6.5622212254271215,2.5032887365063177e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,conv,262144,6.370352113948149,2.4300964790146443e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,conv,262144,7.111292815208435,2.7127429257234324e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,conv,262144,6.681288718194568,2.548709380414798e-05,0.46671247328639054,0.3878662095175154,0.29455040615278455,0.3657531670558129,aggregate,3,0.38455309330632803
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,conv,524288,26.205838276789738,4.998366980894039e-05,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,conv,524288,28.317097028096516,5.4010576301758796e-05,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,conv,524288,27.28321531656626,5.2038603432781715e-05,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,conv,524288,27.268716873817503,5.2010949847826964e-05,1.9048196885831812,0.7915100138878554,0.29455040615278455,0.3657531670558129,aggregate,3,1.055704045826276
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,conv,2359296,17.779422283172607,7.535901507556749e-06,,,,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,conv,2359296,17.396052178882417,7.373408075494731e-06,,,,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,conv,2359296,16.448670420153388,6.971855341658438e-06,,,,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,conv,2359296,17.20804829406947,7.293721641569973e-06,1.2020451620188368,0.11099689074519757,0.29455040615278455,0.3657531670558129,aggregate,3,0.6850067340989072
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,conv,1048576,12.579298606285683,1.1996553999219592e-05,,,,,42,3,
