model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,QAT,layer3.1.conv3.weight,9.890765795717016e-06,5.306127687624286
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv1.weight,1.2443333616829477e-05,3.9124788993088524
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv2.weight,2.2272275600698777e-05,0.03603457977303712
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv3.weight,9.350110303785186e-06,6.43784915720593
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv1.weight,2.1841271518496796e-05,4.65142177651339
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv2.weight,5.651293395203538e-05,0.1966310655294137
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv3.weight,7.309767170227133e-06,11.25036346569616
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv1.weight,4.027151589980349e-05,3.5671648327611467
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv2.weight,0.00010312807717127725,-2.1576930011625093
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv3.weight,6.59409852232784e-06,11.51881803973841
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv1.weight,7.554225157946348e-05,1.3310088212035753
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv2.weight,0.00014951152843423188,-3.390320559422136
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv3.weight,6.09542075835634e-06,11.451057755493375
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv1.weight,0.00030873369541950524,-1.7334643325236136
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv2.weight,0.00010460426710778847,-1.6164961747485274
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv3.weight,6.385150300047826e-06,12.333871469117943
resnet50_no_weights,IMAGENET100,QAT,layer4.0.downsample.0.weight,0.00012013137165922672,-4.121528823081453
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv1.weight,9.615771705284715e-05,-2.9209696301226544
