model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,fc,3.395036162321384,2.043088912963867,0.0003990408033132553,6.936360742350216,84.18,84.32,-0.13999999999998636,0.13999999999998636
resnet50_no_weights,CIFAR10,PTQ,conv1,174.49268875044118,0.09238938242197037,5.346607779049211e-05,16.121271750802357,81.14,80.93,0.20999999999999375,0.20999999999999375
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,1.2793357360905773,0.82794189453125,0.00020213425159454346,1.0592156530803638,81.14,81.18,-0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,3.8570706562863455,0.3778480887413025,1.0249785393373006e-05,1.4573867756179568,81.14,81.15,-0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,0.906417232265892,2.2532083988189697,0.00013752492668572813,2.0423469205757527,81.14,81.18,-0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,9.648457646474505,2.084404945373535,0.00012722198152914643,20.111292833538556,81.14,81.11,0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,1.9695838333828168,0.4985142648220062,3.042689604626503e-05,0.9818656367041437,81.14,81.17,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,3.483415659984048,0.28509944677352905,7.73381745804929e-06,0.9931198775436996,81.14,81.12,0.01999999999999602,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,1.1907273900509592,0.9902167320251465,6.0438032960519195e-05,1.1790781849090928,81.14,81.22,-0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,5.240620958718019,0.22949805855751038,1.4007449863129295e-05,1.202712335661584,81.14,81.28,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,5.007304858593714,0.513064980506897,1.3917778334062961e-05,2.5690727696664744,81.14,81.02,0.12000000000000455,0.12000000000000455
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,2.01809105367536,0.398058146238327,2.429554115224164e-05,0.8033175837661658,81.14,81.19,-0.04999999999999716,0.04999999999999716
