model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,1.9948768615722656
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,6.949101448059082
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,0.6973044872283936
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,1.6657027006149292
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,1.8678336143493652
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,2.306093215942383
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,4.861438751220703
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,2.405566453933716
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,3.462923049926758
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,6.594799995422363
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,3.2504961490631104
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,4.123124599456787
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,6.148130416870117
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,2.063823938369751
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,3.658858299255371
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,3.020784616470337
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,1.273693561553955
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,6.273620128631592
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,3.43052339553833
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,2.581733226776123
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,5.612842559814453
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,5.638879776000977
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,14.618709564208984
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,3.914529800415039
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,3.8339314460754395
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,2.1739139556884766
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,0.8934427499771118
resnet50_no_weights,CIFAR10,FP32,fc.weight,1.1210989952087402
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,25.400516510009766
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.23740647733211517
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.504381000995636
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,0.12108327448368073
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,1.5604257583618164
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.425234854221344
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,0.5448950529098511
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,0.21293418109416962
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,2.0420546531677246
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,1.8308689594268799
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,0.3523412048816681
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,2.5595974922180176
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,10.879730224609375
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,4.8939385414123535
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,6.68727970123291
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,2.454958438873291
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,1.910763144493103
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,1.1883164644241333
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,3.7372758388519287
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,1.6492035388946533
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,0.6312860250473022
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.9220277070999146
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,0.20258793234825134
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,0.27681204676628113
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,6.81517219543457
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,5.5069122314453125
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,1.3435440063476562
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,6.652931213378906
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,0.6980377435684204
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,1.753490924835205
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,1.3962763547897339
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,2.0858964920043945
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,2.8468213081359863
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,1.8733901977539062
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,3.5434165000915527
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,4.040763854980469
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,2.437511920928955
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,4.585282325744629
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,2.4467196464538574
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,1.956163763999939
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,3.947690963745117
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.7828237414360046
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,1.257779598236084
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,9.498639106750488
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,2.3141088485717773
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,2.2719228267669678
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,5.160275459289551
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,5.511157035827637
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,10.834776878356934
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,3.090773582458496
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,9.390485763549805
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,1.3974578380584717
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,0.9485665559768677
resnet50_no_weights,CIFAR10,PTQ,fc.weight,1.1365394592285156
resnet50_no_weights,CIFAR10,QAT,conv1.weight,40.61912536621094
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,0.2269473671913147
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,0.34777700901031494
