model,dataset,layer,n_seeds,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,CIFAR10,layer4.1.conv3.weight,3,10052.580353641832,11230.773565655882,26.381577610969543,0.002624358789772028,13.789521341492426,1.73611244736169,architectural
resnet50_no_weights,CIFAR10,layer4.2.conv1.weight,3,3325.689375902632,3897.4910037186764,20.921675929316766,0.006290929056968338,4.56197941333242,1.376808564528428,architectural
resnet50_no_weights,CIFAR10,layer4.2.conv2.weight,3,36511.58740136988,34198.68563507736,14.340641339619955,0.0003927695934436942,50.08438589606071,0.943725439774746,architectural
resnet50_no_weights,CIFAR10,layer4.2.conv3.weight,3,22661.678990455828,23746.968665401637,5.525079380382191,0.00024380715050765342,31.08591974196272,0.36359308098976184,architectural
resnet18_no_weights,CIFAR10,conv1.weight,3,7.216586895253923,1.1896341734561156,17.350046557764852,2.4041900706794403,0.12491062953644165,0.45482325121586425,learned
resnet18_no_weights,CIFAR10,fc.weight,3,2154.430994168134,2230.751523721753,2.8889436613429678,0.0013409311642670842,37.29066602819511,0.07573228949310348,architectural
resnet18_no_weights,CIFAR10,layer1.0.conv1.weight,3,17.11202652991076,3.2660627141953253,21.556566366782555,1.259731939352888,0.29618904857934714,0.5650951752404786,mixed
resnet18_no_weights,CIFAR10,layer1.0.conv2.weight,3,17.84337072662685,0.8332191134523762,38.146788914998375,2.137868987840602,0.3088477562683946,1.0,mixed
resnet18_no_weights,CIFAR10,layer1.1.conv1.weight,3,19.237079535956642,12.678287541858113,54.485479784011844,2.8323155644374856,0.3329712161935236,1.4283110409481805,learned
resnet18_no_weights,CIFAR10,layer1.1.conv2.weight,3,23.217261899885276,21.29231319104087,33.44294843868334,1.4404346465527267,0.40186349061138393,0.8766910502795793,mixed
resnet18_no_weights,CIFAR10,layer2.0.conv1.weight,3,44.520127462335935,34.40646997227765,43.89599961945505,0.9859809960470374,0.7705910327249424,1.1507128350243976,mixed
resnet18_no_weights,CIFAR10,layer2.0.conv2.weight,3,45.932009743143226,33.19605096277157,55.71365600585938,1.2129592481891425,0.7950290540620055,1.460507098775859,mixed
resnet18_no_weights,CIFAR10,layer2.0.downsample.0.weight,3,6.1492029657730685,4.979816891512081,30.933455228805542,5.030482064258329,0.106435469391662,0.810905874613296,learned
resnet18_no_weights,CIFAR10,layer2.1.conv1.weight,3,52.31156953990969,31.951564873878603,57.943601795271334,1.1076632245007452,0.9054517292055069,1.5189640712455705,mixed
resnet18_no_weights,CIFAR10,layer2.1.conv2.weight,3,57.7740014763799,38.910724093044706,37.518676578998566,0.6494041544679496,1.0,0.9835343326695356,architectural
resnet18_no_weights,CIFAR10,layer3.0.conv1.weight,3,139.25848758404072,126.75708849422185,67.90135065714519,0.48759218798902715,2.410400595862736,1.780001740341716,architectural
resnet18_no_weights,CIFAR10,layer3.0.conv2.weight,3,187.79082018767565,211.6770556138292,75.57777786254883,0.4024572542311568,3.2504381796101023,1.9812356429516802,architectural
resnet18_no_weights,CIFAR10,layer3.0.downsample.0.weight,3,18.681504235146864,15.329839831626268,24.787162617274692,1.3268290553734325,0.3233548613174135,0.6497837255058968,mixed
resnet18_no_weights,CIFAR10,layer3.1.conv1.weight,3,207.00753762190175,225.60125584236368,55.12685012817383,0.2663035885623776,3.5830569517767246,1.4451242606818555,architectural
resnet18_no_weights,CIFAR10,layer3.1.conv2.weight,3,221.86225724220276,221.5992936441208,35.24284338951111,0.1588501073936031,3.8401746732552025,0.9238744437452373,architectural
resnet18_no_weights,CIFAR10,layer4.0.conv1.weight,3,366.52727623900984,345.71322512448506,38.75912070274353,0.10574689311108454,6.344155967608708,1.0160519877337408,architectural
resnet18_no_weights,CIFAR10,layer4.0.conv2.weight,3,440.28710711435235,426.02923390572926,45.35842453806024,0.10302010621055877,7.6208518687139515,1.1890496114661548,architectural
resnet18_no_weights,CIFAR10,layer4.0.downsample.0.weight,3,83.22374202803113,65.17802858189799,19.93190928867885,0.23949787407979628,1.4405050697770345,0.5225055595922549,architectural
resnet18_no_weights,CIFAR10,layer4.1.conv1.weight,3,447.5911909878087,451.39590034991704,40.544836224250076,0.09058452677491237,7.747276968011298,1.0628636741770117,architectural
resnet18_no_weights,CIFAR10,layer4.1.conv2.weight,3,550.0781972954138,488.2154191559291,11.991646766662598,0.02179989467974243,9.52120648109004,0.3143553391448835,architectural
cnn,CIFAR10,conv1.weight,3,0.0023925103881237307,9.910359462667418e-05,65.87147564358182,27532.367663088793,0.0104255809943749,0.9695580629005951,learned
cnn,CIFAR10,conv2.weight,3,0.039114178988410506,0.008014755428725324,150.93768855503626,3858.8995719367895,0.17044358222910316,2.221642243540254,learned
cnn,CIFAR10,conv3.weight,3,0.11891673909675361,0.019105000718362422,205.36266403198243,1726.9449666366504,0.5181904752407023,3.022719998080914,learned
cnn,CIFAR10,conv4.weight,3,0.3400524808277004,0.050752676399012035,70.00790727138519,205.8738318890759,1.4818095247592977,1.030441937099405,architectural
cnn,CIFAR10,fc1.weight,3,0.3686538294252739,0.05958364093485077,12.547368512009129,34.035638614063224,1.6064424951457708,0.18468391955917612,architectural
cnn,CIFAR10,fc2.weight,3,0.49295069940499886,0.035781879800678956,5.046507501602173,10.237347279745027,2.1480773786361453,0.07427922313659999,architectural
