model,dataset,stage,layer,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts,fp32_loss,isolated_loss,loss_damage,abs_loss_damage
cnn,CIFAR10,PTQ,conv3,81.3,80.64,0.6599999999999966,0.6599999999999966,0.5521017166137695,0.5819663788795472,0.029864662265777664,0.029864662265777664
cnn,CIFAR10,PTQ,conv4,81.3,81.22,0.0799999999999983,0.0799999999999983,0.5521017166137695,0.5560502785682678,0.003948561954498331,0.003948561954498331
cnn,CIFAR10,PTQ,fc1,81.3,81.38,-0.0799999999999983,0.0799999999999983,0.5521017166137695,0.5532660634040832,0.0011643467903137417,0.0011643467903137417
cnn,CIFAR10,PTQ,fc2,81.3,81.28,0.01999999999999602,0.01999999999999602,0.5521017166137695,0.556864818763733,0.00476310214996345,0.00476310214996345
resnet18_no_weights,CIFAR10,QAT,conv1,84.18,90.08,-5.8999999999999915,5.8999999999999915,0.483115202331543,0.29895705242156984,-0.18415814990997315,0.18415814990997315
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,84.18,89.67,-5.489999999999995,5.489999999999995,0.483115202331543,0.31113589420318605,-0.17197930812835693,0.17197930812835693
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,84.18,89.91,-5.72999999999999,5.72999999999999,0.483115202331543,0.30614758172035217,-0.1769676206111908,0.1769676206111908
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,84.18,89.76,-5.579999999999998,5.579999999999998,0.483115202331543,0.30915243759155275,-0.17396276473999023,0.17396276473999023
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,84.18,89.87,-5.689999999999998,5.689999999999998,0.483115202331543,0.30815362529754636,-0.17496157703399662,0.17496157703399662
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,84.18,89.92,-5.739999999999995,5.739999999999995,0.483115202331543,0.30622521958351134,-0.17688998274803164,0.17688998274803164
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,84.18,89.92,-5.739999999999995,5.739999999999995,0.483115202331543,0.30588609466552735,-0.17722910766601563,0.17722910766601563
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,84.18,89.76,-5.579999999999998,5.579999999999998,0.483115202331543,0.30934146003723145,-0.17377374229431153,0.17377374229431153
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,84.18,89.84,-5.659999999999997,5.659999999999997,0.483115202331543,0.30635318007469176,-0.17676202225685123,0.17676202225685123
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,84.18,89.81,-5.6299999999999955,5.6299999999999955,0.483115202331543,0.3065378695487976,-0.1765773327827454,0.1765773327827454
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,84.18,89.7,-5.519999999999996,5.519999999999996,0.483115202331543,0.3071832079410553,-0.17593199439048768,0.17593199439048768
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,84.18,89.8,-5.61999999999999,5.61999999999999,0.483115202331543,0.30979445323944094,-0.17332074909210204,0.17332074909210204
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,84.18,89.82,-5.639999999999986,5.639999999999986,0.483115202331543,0.30611384315490725,-0.17700135917663573,0.17700135917663573
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,84.18,89.71,-5.529999999999987,5.529999999999987,0.483115202331543,0.30952949333190916,-0.17358570899963383,0.17358570899963383
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,84.18,89.81,-5.6299999999999955,5.6299999999999955,0.483115202331543,0.3079336658000946,-0.17518153653144836,0.17518153653144836
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,84.18,89.86,-5.679999999999993,5.679999999999993,0.483115202331543,0.30777995467185976,-0.17533524765968322,0.17533524765968322
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,84.18,89.83,-5.6499999999999915,5.6499999999999915,0.483115202331543,0.3084556291103363,-0.17465957322120668,0.17465957322120668
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,84.18,89.8,-5.61999999999999,5.61999999999999,0.483115202331543,0.3093905273914337,-0.1737246749401093,0.1737246749401093
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,84.18,89.72,-5.539999999999992,5.539999999999992,0.483115202331543,0.31063959331512453,-0.17247560901641845,0.17247560901641845
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,84.18,89.8,-5.61999999999999,5.61999999999999,0.483115202331543,0.31060491991043093,-0.17251028242111205,0.17251028242111205
resnet18_no_weights,CIFAR10,QAT,fc,84.18,89.75,-5.569999999999993,5.569999999999993,0.483115202331543,0.3126078615665436,-0.1705073407649994,0.1705073407649994
resnet50_no_weights,CIFAR10,QAT,conv1,81.14,85.64,-4.5,4.5,0.5647703632354736,0.4241656507968903,-0.1406047124385833,0.1406047124385833
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,81.14,85.31,-4.170000000000002,4.170000000000002,0.5647703632354736,0.440772634601593,-0.12399772863388059,0.12399772863388059
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,81.14,85.14,-4.0,4.0,0.5647703632354736,0.4443077633857727,-0.12046259984970087,0.12046259984970087
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,81.14,85.1,-3.9599999999999937,3.9599999999999937,0.5647703632354736,0.44378500003814697,-0.12098536319732661,0.12098536319732661
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,81.14,85.34,-4.200000000000003,4.200000000000003,0.5647703632354736,0.43382317175865176,-0.13094719147682182,0.13094719147682182
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,81.14,85.07,-3.9299999999999926,3.9299999999999926,0.5647703632354736,0.4434965835571289,-0.12127377967834468,0.12127377967834468
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,81.14,85.14,-4.0,4.0,0.5647703632354736,0.44375360860824586,-0.12101675462722772,0.12101675462722772
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,81.14,85.01,-3.8700000000000045,3.8700000000000045,0.5647703632354736,0.44457823467254637,-0.12019212856292721,0.12019212856292721
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,81.14,85.08,-3.9399999999999977,3.9399999999999977,0.5647703632354736,0.44261384048461916,-0.12215652275085442,0.12215652275085442
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,81.14,85.19,-4.049999999999997,4.049999999999997,0.5647703632354736,0.43889393758773804,-0.12587642564773555,0.12587642564773555
