model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,"(512, 128, 1, 1)",8.48062303148467,0.00012940403795600388,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,"(128, 512, 1, 1)",44.221316103075374,0.0006747637344829616,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,"(128, 128, 3, 3)",24.302476565043133,0.00016481171715659675,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,"(512, 128, 1, 1)",12.607732852300009,0.0001923787361495973,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,"(256, 512, 1, 1)",59.34945920995764,0.00045280043952909574,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,"(256, 256, 3, 3)",27.388193213421367,4.643451811628785e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,"(1024, 256, 1, 1)",20.54955818918016,7.839034343406739e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,"(1024, 512, 1, 1)",40.45786872863769,7.71672606060747e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,"(256, 1024, 1, 1)",9.839548746744791,3.753489969919125e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,"(256, 256, 3, 3)",8.796604116757711,1.4913947409325004e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,"(1024, 256, 1, 1)",10.770219131752297,4.108512547207755e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,"(256, 1024, 1, 1)",9.418274541055002,3.592786613866807e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,"(256, 256, 3, 3)",7.541239870919122,1.278557649556329e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,"(1024, 256, 1, 1)",8.403655008836227,3.205739978346339e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,"(256, 1024, 1, 1)",26.54736691136514,0.0001012701679663282,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,"(256, 256, 3, 3)",19.884422847202845,3.3712468206113764e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,"(1024, 256, 1, 1)",13.919209872351752,5.3097571839720734e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,"(256, 1024, 1, 1)",25.857580184936523,9.863884042715654e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,"(256, 256, 3, 3)",10.46152651309967,1.7736691815015445e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,"(1024, 256, 1, 1)",8.31275780060712,3.171065445177887e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,"(256, 1024, 1, 1)",20.54322032928467,7.836616641725414e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,"(256, 256, 3, 3)",8.545442177699162,1.4488122181700239e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,"(1024, 256, 1, 1)",7.926660285276525,3.0237809315782643e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,"(512, 1024, 1, 1)",56.24257329992346,0.00010727419528946582,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,"(512, 512, 3, 3)",17.105448325475056,7.25023410605327e-06,20260811
