model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",13.9614003354311
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",1.0528090036398656
resnet50_no_weights,CIFAR10,ptq,20260811,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",0.7305498439818621
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",8.47022231458948
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",2.238623069599271
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",0.5778948891162873
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",0.8280907049775124
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",0.6611736230068392
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",0.23744766077619384
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",0.38569391205906867
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",1.075810598519941
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",0.14207440276037564
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",0.3140487553636459
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",0.48074136835102943
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",0.14480756022609198
resnet50_no_weights,CIFAR10,ptq,20260811,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",0.19096021531149746
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",0.5238322467758105
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",0.4346298717934152
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",0.7742247379595234
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",1.6770518244358532
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",0.1379892908036709
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",0.13061316311359406
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",0.7389849297543789
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",0.09067457609555939
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",0.12841439604759217
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",0.7160662372907003
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",0.13424762906996826
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",0.2306983563406714
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",1.0505827019611995
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",0.06577664595097303
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",0.108860741276294
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",1.3784472862879436
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",0.05062211004163449
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",0.03341750812251121
resnet50_no_weights,CIFAR10,ptq,20260811,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",0.2416749535719069
