model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,0.23736953223912405,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,-0.5266444240626722,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,-0.4388755702488609,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,0.47316437189506066,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,-0.2654550456936544,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,-0.3274577602469453,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,0.4454227861603801,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,0.13793012204895483,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,0.5563359012283291,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,-0.04074494147503227,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,0.15936976750430354,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,-0.4322140581983014,1.0
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,-0.6657487893376368,1.0
resnet50_no_weights,CIFAR10,fp32_fused,fc,-0.2789610295790026,1.0
resnet50_no_weights,CIFAR10,ptq,conv1,1.9200017570843726,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,0.14864512748997516,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,1.043157562672342,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,0.2025835684059163,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,-0.2083356002276866,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,0.6332227294921893,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,0.33479283016386496,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,-0.4523712608921153,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,0.6351254639475408,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,-0.2811330915125847,1.0
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,-0.6488264649788693,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,0.5966369051219615,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,0.39273708981120503,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,-0.4147988481330511,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.0.downsample.0,-0.1585303095108408,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv1,-0.3406056414051051,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv2,-0.6613811069027333,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv3,-0.3472457763263561,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv1,-0.060297749706026416,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv2,-0.8575038743491046,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv3,-0.6738264341544191,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv1,-0.47583540201893015,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv2,-0.754934649627983,1.0
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv3,-0.898315403243835,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv1,-0.34235738708155417,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv2,0.07784892135247556,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv3,-0.0064468006296865,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.0.downsample.0,0.6145386400245494,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv1,-0.7411241906214308,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv2,-0.3815893670768329,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv3,-0.004221720149036656,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv1,-0.640776625261128,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv2,-0.4789653353253369,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv3,0.04360892303090402,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv1,-0.7187379683693624,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv2,-0.2516420652388547,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv3,0.3370176852034774,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv1,-1.0241939624386127,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv2,-0.6063387284139852,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv3,0.17409583737888834,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv1,-1.1478660298755186,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv2,-1.0535090934136013,1.0
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv3,-0.3502066416453653,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv1,0.4147046652386557,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv2,-0.13039361334825816,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv3,0.5122152292181772,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.0.downsample.0,2.5091188931378037,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv1,0.7429593299228463,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv2,1.0151090836132157,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv3,2.657315789174821,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv1,-0.49522768494867453,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,0.08721328655502347,1.0
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,-0.27621307343924695,1.0
resnet50_no_weights,CIFAR10,ptq,fc,0.7911025822259301,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,1.5692331150985643,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,1.0956053271867874,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,0.30350549419148765,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,0.6928215857857394,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,1.1341036341426773,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv1,-0.12129571969624786,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv2,-0.3387587112150894,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv3,-0.4607723221107305,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv1,-0.8958482739872631,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv2,-1.0268982258028512,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.2.conv3,-0.8178552059386845,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv1,-0.05939662529131873,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv2,0.13568863106430218,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.conv3,0.04946983447549158,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,0.2810758599303562,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,-0.44468338929249107,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,-0.17533452269606054,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,-0.23318892269969105,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,-0.6094837630198673,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,-0.71854591057724,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,-0.4247287419080883,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,-0.032036434226098365,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,0.037277166883339596,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,-0.10133448075291662,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,0.6254074482874432,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,0.2859217200020874,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,0.35696182976629354,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,0.4648687305061836,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,-0.818568847843415,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,-0.3560456306058475,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,-0.20598089506664508,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv1,-0.37054179220067196,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv2,-0.3642047380132123,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv3,-0.12022924031763527,1.0
