model,dataset,layer,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,CIFAR10,layer2.0.downsample.0.weight,1.3115765762769938,1.8758307855995178,37.92332940631442,28.914308239601667,0.2413849398202113,2.7731021812775234,learned
resnet50_no_weights,CIFAR10,layer2.1.conv1.weight,0.3900369601018463,0.5250355068327536,3.616932959392153,9.273308248653413,0.07178311190116807,0.2644842854318293,learned
resnet50_no_weights,CIFAR10,layer2.1.conv2.weight,3.9818733702610576,5.375080631860877,7.742825453622,1.9445182540082557,0.7328312210183736,0.5661856828191663,architectural
resnet50_no_weights,CIFAR10,layer2.1.conv3.weight,2.3102852061080434,3.2681529386115753,8.992502245409735,3.892377539203785,0.425189093439665,0.6575669378790515,mixed
resnet50_no_weights,CIFAR10,layer2.2.conv1.weight,0.6165307334735103,0.8085911202803298,4.8628482294082644,7.887438476929067,0.11346743811120355,0.3555904833067809,mixed
resnet50_no_weights,CIFAR10,layer2.2.conv2.weight,5.0313305664087205,6.873295077187498,8.932546382254742,1.7753845159553179,0.9259752331316943,0.6531827306509856,architectural
resnet50_no_weights,CIFAR10,layer2.2.conv3.weight,2.7938269441239316,3.7120959294774494,7.383814159704714,2.6429031960031004,0.5141809948220784,0.5399333727543353,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv1.weight,0.6466255976992131,0.8552499136476077,6.131346010026478,9.48206509584942,0.11900615168798866,0.44834800268724845,learned
resnet50_no_weights,CIFAR10,layer2.3.conv2.weight,9.082480683167544,13.198236353398375,14.234968423843384,1.5672996090401696,1.671556272640858,1.040916570474004,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv3.weight,4.992600015992622,7.755158720829244,8.920452177524567,1.7867347972899876,0.9188471921537658,0.652298355095276,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv1.weight,1.9073971786464206,2.947948269900153,43.65346607507444,22.88640591680701,0.3510408477160627,3.1921121876223495,learned
resnet50_no_weights,CIFAR10,layer3.0.conv2.weight,15.639942150085401,23.250383642053485,39.23602763584682,2.508706698485619,2.8784034138565247,2.8690918103703034,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv3.weight,6.584961191610253,9.945842992654171,31.71719060625349,4.816610103437455,1.2119082405902748,2.319285037234932,mixed
resnet50_no_weights,CIFAR10,layer3.0.downsample.0.weight,9.161692362515355,13.645767770296104,43.36432075500488,4.733221662454856,1.686134534252318,3.1709687508423086,mixed
resnet50_no_weights,CIFAR10,layer3.1.conv1.weight,2.2077017900606934,3.2479769217791907,7.742639541625977,3.507103892601871,0.4063094548756474,0.5661720882068322,architectural
resnet50_no_weights,CIFAR10,layer3.1.conv2.weight,23.268577988585854,32.28800663675088,22.998466265828984,0.9883915672505054,4.282391435672067,1.6817378106361276,architectural
resnet50_no_weights,CIFAR10,layer3.1.conv3.weight,8.188736329870686,10.961464985745112,12.296621070188635,1.5016506301873833,1.507069935481956,0.8991770302320945,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv1.weight,3.2322853250676618,4.570492424552559,12.35165810585022,3.821339041469571,0.5948756731291555,0.9032015535541099,mixed
resnet50_no_weights,CIFAR10,layer3.2.conv2.weight,28.38699304720706,40.708463537729195,25.60634644135185,0.9020450457281247,5.224393857221272,1.8724362096550893,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv3.weight,12.83029763369131,17.864360776174447,13.004492335849339,1.013576824726233,2.3613113242500514,0.950939345978046,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv1.weight,3.410079565302048,4.7581833190532645,17.279966680015004,5.067320673640772,0.6275972486403468,1.2635787533141476,mixed
resnet50_no_weights,CIFAR10,layer3.3.conv2.weight,50.31134008596652,73.79741733846885,35.38519489063936,0.7033244360054216,9.25939058274278,2.5875038577130756,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv3.weight,20.618309754020654,30.969119206268854,17.255826626505172,0.836917615089191,3.7946312469960293,1.2618135381789721,architectural
resnet50_no_weights,CIFAR10,layer3.4.conv1.weight,5.835764764840065,8.782153415321863,18.534919905662537,3.1760909927921857,1.0740247668683056,1.355345841856352,architectural
resnet50_no_weights,CIFAR10,layer3.4.conv2.weight,60.824887829078534,85.15022678948908,28.070120221092587,0.46149070262112535,11.194323041259063,2.052596985349952,architectural
resnet50_no_weights,CIFAR10,layer3.4.conv3.weight,21.920857588830565,30.281806654136368,14.694684519086564,0.6703517168312801,4.034354520806719,1.0745328095132638,architectural
