model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
resnet18_no_weights,CIFAR10,QAT,fc,low_trace,1.897173750049928,90.54,90.58,90.57,-0.010000000000005116,0.25000000000017764,True,True
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,low_trace,3.992757167134966,90.54,90.58,90.59,0.010000000000005116,-0.25000000000017764,True,True
resnet50_no_weights,CIFAR10,PTQ,,none,,75.46,28.15,28.15,0.0,0.0,,True
resnet50_no_weights,CIFAR10,PTQ,conv1,top_trace,13161.826611328124,75.46,28.15,25.87,-2.2799999999999976,-0.0481927710843373,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,top_trace,475.70222058015713,75.46,28.15,26.67,-1.4799999999999969,-0.031283026844218915,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,275.47671289597787,75.46,28.15,27.69,-0.4599999999999973,-0.009723102938068006,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,low_trace,0.6501170301691015,75.46,28.15,22.38,-5.77,-0.12196153033185374,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,low_trace,0.7322613652105685,75.46,28.15,25.66,-2.4899999999999984,-0.05263157894736839,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,low_trace,0.7436659923539712,75.46,28.15,25.87,-2.2799999999999976,-0.0481927710843373,True,True
resnet50_no_weights,CIFAR10,QAT,,none,,84.44,84.15,84.15,0.0,0.0,,True
resnet50_no_weights,CIFAR10,QAT,conv1,top_trace,183.24382030602655,84.44,84.15,83.89,-0.2600000000000051,-0.8965517241379732,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,top_trace,54.19021253232603,84.44,84.15,84.03,-0.12000000000000455,-0.4137931034483029,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,top_trace,52.98683420817057,84.44,84.15,83.95,-0.20000000000000284,-0.6896551724138218,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,low_trace,1.0229292584432137,84.44,84.15,83.79,-0.35999999999999943,-1.2413793103448596,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,low_trace,1.5170979227049877,84.44,84.15,83.29,-0.8599999999999994,-2.9655172413793895,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,low_trace,2.3589966618097744,84.44,84.15,83.96,-0.19000000000001194,-0.6551724137931626,True,True
