model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",32.837493896484375,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",34.88533843417861,aggregate,3,2.0385422253884307
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.565877475856263,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",2.9837743100665866,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.478716821140713,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.3427895356878543,aggregate,3,0.313955719972623
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",5.583659739721389,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",5.988215333537052,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",6.7847104753766745,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",6.118861849545039,aggregate,3,0.6110909110053058
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",8.095006219271955,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",7.837778641627385,43,3,
