model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv1.weight,2.2219708625925705e-05,2.398754183990964
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv2.weight,3.456193735473789e-05,-0.7480468122870182
resnet50_no_weights,IMAGENET100,QAT,layer3.2.conv3.weight,1.0345717782911379e-05,6.411063032944738
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv1.weight,3.397663385840133e-05,2.2625257186193943
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv2.weight,6.672633026028052e-05,-1.034681055677988
resnet50_no_weights,IMAGENET100,QAT,layer3.3.conv3.weight,8.75800833455287e-06,9.55140518930849
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv1.weight,6.880999717395753e-05,1.1009466219303652
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv2.weight,0.00015744093980174512,-3.974737318286665
resnet50_no_weights,IMAGENET100,QAT,layer3.4.conv3.weight,7.518027814512607e-06,10.458281327549084
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv1.weight,0.00012142011109972373,-0.5404395903368416
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv2.weight,0.00017462263349443674,-3.4911341980718995
resnet50_no_weights,IMAGENET100,QAT,layer3.5.conv3.weight,8.276738299173303e-06,10.535674358565947
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv1.weight,0.00034402048913761973,-2.5064251314469184
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv2.weight,0.00011130502389278263,-2.066745416798135
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv3.weight,6.767087143089157e-06,12.234766315379872
resnet50_no_weights,IMAGENET100,QAT,layer4.0.downsample.0.weight,0.0001231173810083419,-4.361231950812991
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv1.weight,0.00011413921311032027,-3.6360439629239947
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv2.weight,6.688359280815348e-05,-1.7677634219624496
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv3.weight,5.3262501751305535e-06,11.703580350409144
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv1.weight,0.0014721363550052047,-9.211309210830695
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv2.weight,0.00024828914320096374,-5.576399429935714
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv3.weight,6.934981684025843e-06,8.861463668424838
resnet50_no_weights,IMAGENET100,QAT,fc.weight,6.53226234135218e-05,13.439494745935969
