model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.2.conv3,"(2048, 512, 1, 1)",5.955266650985269,5.679384852395314e-06,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,fc,"(10, 2048)",5.078143247338229,0.000247956213248937,20260811
resnet50_no_weights,CIFAR10,fp32_fused,conv1,"(64, 3, 3, 3)",199.67421889305115,0.11555221000755275,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,"(64, 64, 1, 1)",4.124195125867736,0.0010068835756513028,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,"(64, 64, 3, 3)",5.685314379240337,0.0001542240228743581,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.conv3,"(256, 64, 1, 1)",2.8326670651634536,0.00017289227692648032,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,"(256, 64, 1, 1)",7.346483958394904,0.00044839379628875146,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,"(64, 256, 1, 1)",7.241980243474245,0.0004420153957198636,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,"(64, 64, 3, 3)",5.321009906133016,0.00014434163156827842,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv3,"(256, 64, 1, 1)",2.380211517214775,0.00014527658186125336,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv1,"(64, 256, 1, 1)",13.25002933370656,0.0008087176106998633,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,"(64, 64, 3, 3)",20.2799285252889,0.0005501282694577067,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,"(256, 64, 1, 1)",5.278411375624793,0.00032216866306303667,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,"(128, 256, 1, 1)",47.471972158220076,0.001448729619086306,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,"(128, 128, 3, 3)",63.627446321340706,0.0004315012364457242,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,"(512, 128, 1, 1)",27.817297243302868,0.0004244582709244212,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,"(512, 256, 1, 1)",39.70364952087402,0.00030291480652522296,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,"(128, 512, 1, 1)",7.715695471763611,0.00011773216967412736,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,"(128, 128, 3, 3)",9.30705860333565,6.311753067583312e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,"(512, 128, 1, 1)",10.145448782227255,0.0001548072629124032,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,"(128, 512, 1, 1)",8.839882188373142,0.00013488589764973667,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,"(128, 128, 3, 3)",7.424307321247301,5.034930637781644e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,"(512, 128, 1, 1)",7.931567837210262,0.00012102612056290073,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,"(128, 512, 1, 1)",12.12306850606745,0.0001849833451243202,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,"(128, 128, 3, 3)",13.641056257135729,9.250933334103548e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,"(512, 128, 1, 1)",6.007522988319397,9.166752606688533e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,"(256, 512, 1, 1)",81.69339100519817,0.0006232711105743268,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,"(256, 256, 3, 3)",69.26285823698967,0.00011742970485600733,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,"(1024, 256, 1, 1)",31.99162197113037,0.0001220383528561797,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,"(1024, 512, 1, 1)",36.995194307963054,7.056273328392611e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,"(256, 1024, 1, 1)",16.464745896203176,6.28080211494567e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,"(256, 256, 3, 3)",17.205279077802384,2.91701915788479e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,"(1024, 256, 1, 1)",13.700943207740783,5.226495059105218e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,"(256, 1024, 1, 1)",26.640560150146484,0.00010162567195948213,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,"(256, 256, 3, 3)",20.665000298443964,3.503587561449511e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,"(1024, 256, 1, 1)",13.261215673910606,5.058752317013018e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,"(256, 1024, 1, 1)",50.588735379670794,0.00019298071052425687,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,"(256, 256, 3, 3)",30.981848776340485,5.252727724938369e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,"(1024, 256, 1, 1)",16.432009713990347,6.268314252468241e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,"(256, 1024, 1, 1)",52.04556680494739,0.00019853808137873608,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,"(256, 256, 3, 3)",23.916339673494036,4.0548264691660624e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,"(1024, 256, 1, 1)",16.950459365844726,6.466087099397555e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,"(256, 1024, 1, 1)",32.631351947784424,0.00012447872904886026,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,"(256, 256, 3, 3)",6.641809940338135,1.1260664096981702e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,"(1024, 256, 1, 1)",6.876856546401978,2.6233125863655006e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,"(512, 1024, 1, 1)",64.79492782592773,0.00012358651700196787,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,"(512, 512, 3, 3)",16.132364609662226,6.837787462727112e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,"(2048, 512, 1, 1)",11.831232303228134,1.1283142379024634e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",80.91361999511719,3.858262061839923e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,"(512, 2048, 1, 1)",34.54759852091471,3.294715740291091e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,"(512, 512, 3, 3)",107.02592152186803,4.536349890894064e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,"(2048, 512, 1, 1)",22.895113481057656,2.183448169809118e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,"(512, 2048, 1, 1)",36.295894963400706,3.461446281757422e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,"(512, 512, 3, 3)",10.988515281677246,4.6575399109214135e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,"(2048, 512, 1, 1)",5.429238906273475,5.177725702546572e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,fc,"(10, 2048)",5.872937798500061,0.0002867645409423858,20260811
resnet50_no_weights,CIFAR10,ptq,conv1,"(64, 3, 3, 3)",1144.1614617479258,0.6621304755485682,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,"(64, 64, 1, 1)",11.570839674992335,0.0028249120300274256,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,"(64, 64, 3, 3)",24.445176489078083,0.0006631178518087588,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,"(256, 64, 1, 1)",5.726280877686804,0.00034950444810100123,20260811
