model,dataset,stage,layer,weight_damage_pts,fp32_acc,isolated_acc
resnet18_no_weights,IMAGENET100,QAT,layer4.0.conv1,-0.1400000000000005,80.06,80.2
resnet50_no_weights,CIFAR10,QAT,conv1,-4.5,81.14,85.64
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,-4.200000000000003,81.14,85.34
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,-4.170000000000002,81.14,85.31
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3,-4.129999999999996,81.14,85.27
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-4.079999999999998,81.14,85.22
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1,-4.069999999999993,81.14,85.21
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3,-4.069999999999993,81.14,85.21
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2,-4.069999999999993,81.14,85.21
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2,-4.060000000000002,81.14,85.2
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,-4.049999999999997,81.14,85.19
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,-4.049999999999997,81.14,85.19
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2,-4.040000000000006,81.14,85.18
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1,-4.030000000000001,81.14,85.17
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3,-4.019999999999996,81.14,85.16
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1,-4.010000000000005,81.14,85.15
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3,-4.010000000000005,81.14,85.15
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3,-4.010000000000005,81.14,85.15
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-4.010000000000005,81.14,85.15
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,-4.0,81.14,85.14
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,-4.0,81.14,85.14
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2,-4.0,81.14,85.14
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,-3.989999999999995,81.14,85.13
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2,-3.989999999999995,81.14,85.13
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3,-3.989999999999995,81.14,85.13
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2,-3.989999999999995,81.14,85.13
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2,-3.980000000000004,81.14,85.12
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1,-3.980000000000004,81.14,85.12
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3,-3.980000000000004,81.14,85.12
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3,-3.969999999999999,81.14,85.11
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1,-3.969999999999999,81.14,85.11
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,-3.9599999999999937,81.14,85.1
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2,-3.9599999999999937,81.14,85.1
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2,-3.9599999999999937,81.14,85.1
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2,-3.9599999999999937,81.14,85.1
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2,-3.950000000000003,81.14,85.09
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1,-3.950000000000003,81.14,85.09
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3,-3.950000000000003,81.14,85.09
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,-3.9399999999999977,81.14,85.08
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3,-3.9399999999999977,81.14,85.08
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1,-3.9399999999999977,81.14,85.08
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,-3.9299999999999926,81.14,85.07
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3,-3.9299999999999926,81.14,85.07
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1,-3.9299999999999926,81.14,85.07
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0,-3.9200000000000017,81.14,85.06
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1,-3.9200000000000017,81.14,85.06
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1,-3.9200000000000017,81.14,85.06
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,-3.9099999999999966,81.14,85.05
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,-3.9099999999999966,81.14,85.05
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3,-3.879999999999996,81.14,85.02
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,-3.870000000000005,81.14,85.01
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1,-3.86,81.14,85.0
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,-3.8400000000000034,81.14,84.98
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,-3.8100000000000014,81.14,84.95
resnet50_no_weights,CIFAR10,QAT,fc,-3.269999999999996,81.14,84.41
resnet50_no_weights,IMAGENET100,QAT,conv1,-0.8400000000000034,80.02,80.86
