model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.35651764273643494,0.6147255897521973,1.4389125108718872,4.03602048927391,9.662226577223443
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.3949388265609741,0.7234395742416382,2.0174195766448975,5.108182434763553,12.484125050898177
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.3955364525318146,0.685645580291748,1.6758917570114136,4.2370096265062065,9.29747639410214
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.36698660254478455,0.6912063956260681,1.7287425994873047,4.71064226186933,9.74687711826521
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9461720585823059,1.6425833702087402,3.197997808456421,3.379932623721875,5.413918857804706
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,11.931960105895996,17.124351501464844,17.206438064575195,1.4420462281023632,1.8251251022353954
resnet18_no_weights,CIFAR10,QAT,conv1,-3.875082015991211,4.925522327423096,8.800604343414307,0.034512173384428024,112,0.9510716199874878,1.5968401432037354,3.888507604598999,4.088553924729828,9.253356065371909
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,-4.899887561798096,3.893275260925293,8.793162822723389,0.03448299318552017,142,0.7056063413619995,1.170475721359253,3.6964704990386963,5.238714963790673,12.461853454647743
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,-5.336009502410889,4.227354526519775,9.563364028930664,0.03750338777899742,142,0.8094490170478821,1.4175422191619873,3.573029041290283,4.414149583282432,11.814658894526712
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,-5.10771369934082,4.155684947967529,9.26339864730835,0.0363270565867424,141,0.6960652470588684,1.362060785293579,3.791593551635742,5.447181234311897,13.30823322447086
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,-4.28796911239624,2.919454574584961,7.207423686981201,0.028264407068490982,152,0.6777580976486206,1.1372641324996948,2.728959321975708,4.026450338909148,10.634212578184266
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,-2.066523790359497,2.285728931427002,4.352252721786499,0.01706765778362751,121,0.5183578133583069,0.8373302221298218,1.8286164999008179,3.527710883826911,8.396232505090207
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,-2.6365630626678467,3.15761661529541,5.794179677963257,0.0227222740650177,116,0.6422231197357178,1.0420525074005127,3.6921839714050293,5.749067353608207,9.02206647488435
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-2.432910680770874,5.255498886108398,7.6884095668792725,0.030150625854730606,81,0.6547757983207703,1.2290680408477783,4.468507289886475,6.824484504995988,11.742049090080712
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,-2.464460849761963,2.3227124214172363,4.787173271179199,0.01877322793006897,131,0.4748172163963318,0.7977279424667358,1.9238542318344116,4.051778590582029,10.082139201926761
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,-3.072511911392212,4.2278876304626465,7.300399541854858,0.028629017993807793,107,0.47641605138778687,0.7911847233772278,3.0885860919952393,6.482959763841443,15.32358013670823
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,-1.8534657955169678,2.229480028152466,4.082945823669434,0.01601155288517475,116,0.5028520226478577,0.8200744986534119,2.0961692333221436,4.168560806983311,8.119577211144442
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,-2.2041921615600586,2.7604377269744873,4.964629888534546,0.019469138234853745,113,0.5778287649154663,0.9664058089256287,2.695051670074463,4.664100913129059,8.591870446707249
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,-1.622721791267395,2.0416901111602783,3.6644119024276733,0.014370243065059185,113,0.3696369230747223,0.6396867632865906,2.004105806350708,5.421822554089319,9.913544004062903
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,-2.0638198852539062,2.3378453254699707,4.401665210723877,0.017261432483792305,120,0.3905261754989624,0.693945586681366,2.412729501724243,6.178150539183649,11.271114426837112
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,-2.116673231124878,2.8651058673858643,4.981779098510742,0.019536389037966728,108,0.41376742720603943,0.7532097101211548,2.8114168643951416,6.794679038365119,12.040046584019814
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,-1.6333496570587158,2.2599117755889893,3.893261432647705,0.01526769157499075,107,0.3958801031112671,0.6949287056922913,1.7004430294036865,4.295348556392984,9.834445838651948
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,-2.220700263977051,2.8133530616760254,5.034053325653076,0.01974138617515564,112,0.4703129529953003,0.8803695440292358,2.7142152786254883,5.7710834059307965,10.703624668622258
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-1.6326534748077393,2.5875322818756104,4.22018575668335,0.016549747437238693,99,0.4270592927932739,0.7474554777145386,2.062901020050049,4.830479174348829,9.881966808590699
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,-1.7486515045166016,2.7283220291137695,4.476973533630371,0.01755675859749317,100,0.4671521484851837,0.9017035961151123,2.5108180046081543,5.3747328632649705,9.58354477903544
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-2.44282865524292,4.93294095993042,7.37576961517334,0.02892458625137806,84,1.2448614835739136,2.192539691925049,4.641238689422607,3.728317367566007,5.92497214549365
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,16.552715301513672,19.501514434814453,19.54838752746582,1.1809776928669948,1.6405595680765672
resnet50_no_weights,CIFAR10,PTQ,conv1,-4.129914283752441,6.346264362335205,10.476178646087646,0.04108305647969246,101,1.2068541049957275,2.000068187713623,4.309532165527344,3.5708808112664125,8.680567603591765
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,-1.6446564197540283,3.922759532928467,5.567415952682495,0.02183300442993641,75,0.5507903099060059,0.991610050201416,4.061926364898682,7.374723723065975,10.108049928533768
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,-4.314816474914551,5.028055667877197,9.342872142791748,0.036638714373111725,118,0.6405473351478577,1.1478724479675293,4.902414321899414,7.653477038926075,14.585763814996016
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,-3.969074249267578,3.157248020172119,7.126322269439697,0.027946362271904945,142,0.567613959312439,1.1581271886825562,2.4605188369750977,4.334845534728513,12.554874933082935
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,-4.229605674743652,4.078453540802002,8.308059215545654,0.032580625265836716,130,0.6894269585609436,1.1304289102554321,3.23818302154541,4.696919639325596,12.050673551970252
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.465834617614746,2.63987398147583,7.105708599090576,0.027865523472428322,160,0.4990081489086151,0.7677850723266602,1.7758420705795288,3.5587436286631546,14.239664451635772
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,-1.6478463411331177,3.4764697551727295,5.124316096305847,0.020095357671380043,82,0.4980771243572235,0.8967494964599609,1.7877285480499268,3.5892604992791406,10.288198043463368
