model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-1.6326534748077393,2.5875322818756104,4.22018575668335,0.016549747437238693,99,0.4269583821296692,0.7474555969238281,2.062748432159424,4.831263463830902,9.884302389457856
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,-1.7486515045166016,2.7283220291137695,4.476973533630371,0.01755675859749317,100,0.4671255946159363,0.901703417301178,2.5108180046081543,5.375038391275716,9.584089557994082
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-2.44282865524292,4.93294095993042,7.37576961517334,0.02892458625137806,84,1.2441058158874512,2.1944034099578857,4.641239166259766,3.730582324260783,5.928570963163629
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,16.557579040527344,19.499448776245117,19.54838752746582,1.1806307842238284,1.640077658640654
resnet50_no_weights,CIFAR10,PTQ,conv1,-4.129914283752441,6.346264362335205,10.476178646087646,0.04108305647969246,101,1.2068538665771484,2.000068187713623,4.309532165527344,3.5708815167075207,8.680569318470965
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,-1.6446564197540283,3.922759532928467,5.567415952682495,0.02183300442993641,75,0.5507903099060059,0.991610050201416,4.061926364898682,7.374723723065975,10.108049928533768
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,-4.314816474914551,5.028055667877197,9.342872142791748,0.036638714373111725,118,0.6405472755432129,1.1478726863861084,4.902414798736572,7.6534784955241655,14.585765172240523
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,-3.969074249267578,3.157248020172119,7.126322269439697,0.027946362271904945,142,0.567613959312439,1.1581271886825562,2.4605188369750977,4.334845534728513,12.554874933082935
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,-4.229605674743652,4.078453540802002,8.308059215545654,0.032580625265836716,130,0.6894269585609436,1.1304289102554321,3.23818302154541,4.696919639325596,12.050673551970252
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.465834617614746,2.63987398147583,7.105708599090576,0.027865523472428322,160,0.4990081191062927,0.7677850723266602,1.7758421897888184,3.558744080094917,14.239665302072977
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,-1.6478463411331177,3.4764697551727295,5.124316096305847,0.020095357671380043,82,0.49807676672935486,0.8967494964599609,1.7877287864685059,3.5892635551096133,10.288205430570304
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,-6.74623966217041,4.373737812042236,11.119977474212646,0.04360775649547577,155,0.33918771147727966,0.7683333158493042,3.06148099899292,9.025919558403553,32.78414016174496
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,-2.571638822555542,2.5384724140167236,5.110111236572266,0.020039651542901993,128,0.6143366694450378,1.0566890239715576,2.4035637378692627,3.912453638882612,8.318095745755327
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,-2.502774477005005,2.9622864723205566,5.4650609493255615,0.021431611850857735,117,0.6215702295303345,1.1346088647842407,2.8207333087921143,4.538076591801207,8.792346688571335
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,-4.87325382232666,7.127985000610352,12.001238822937012,0.0470636822283268,104,0.28991279006004333,0.7079128623008728,3.8162500858306885,13.163441616495469,41.39603092520153
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.5183446407318115,2.955221176147461,5.4735658168792725,0.021464964374899864,117,0.6839545965194702,1.3250999450683594,3.054814338684082,4.466399311050058,8.002820428042048
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,-3.4626734256744385,3.1966981887817383,6.659371614456177,0.026115182787179947,133,0.6178297996520996,1.1958096027374268,3.3027217388153076,5.345682161454615,10.778650719350335
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,-10.075788497924805,11.57698917388916,21.652777671813965,0.08491285890340805,119,0.592080295085907,1.1370817422866821,6.683752536773682,11.288591416142152,36.57067774679495
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.4615488052368164,3.496164321899414,5.9577131271362305,0.02336358092725277,105,0.5607295036315918,0.9437558650970459,2.7092952728271484,4.831733046469405,10.624932500520861
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,-3.304333448410034,5.246185302734375,8.55051875114441,0.033531446009874344,99,0.4807050824165344,0.9115495085716248,2.431988477706909,5.059211076947952,17.787452356776463
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,-5.011257648468018,10.468344688415527,15.479602336883545,0.06070432439446449,83,0.4666118621826172,1.0835752487182617,4.824654579162598,10.339759809351738,33.174472385841995
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,-42.703941345214844,43.509254455566406,86.21319580078125,0.3380909562110901,126,0.49749091267585754,1.7610182762145996,22.044443130493164,44.31124784153861,173.2960213023104
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,-9.040843963623047,9.03685474395752,18.077698707580566,0.07089293003082275,128,0.4285460412502289,0.9885275959968567,4.192228317260742,9.782445557145847,42.18379582936099
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,-9.940485000610352,15.290626525878906,25.231111526489258,0.09894553571939468,100,0.37346869707107544,1.6280384063720703,6.8257575035095215,18.27665225235865,67.5588388648473
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,-42.623756408691406,38.54410934448242,81.16786575317383,0.3183053433895111,134,0.1704491674900055,1.135361671447754,19.636442184448242,115.20409558820316,476.19983686886127
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,-11.200364112854004,13.416670799255371,24.617034912109375,0.09653738886117935,116,0.5206575989723206,1.2280607223510742,6.524078369140625,12.530458370372235,47.28065999747
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,-18.29684829711914,19.528587341308594,37.825435638427734,0.1483350396156311,123,0.46706950664520264,2.1890647411346436,9.965519905090332,21.336267436230607,80.98459672547379
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,-31.194107055664062,21.6603946685791,52.854501724243164,0.20727254450321198,150,0.1048775166273117,1.0794851779937744,10.614648818969727,101.2099557685895,503.96408519153516
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,-16.343652725219727,10.817795753479004,27.16144847869873,0.10651548951864243,153,0.47755128145217896,1.0534374713897705,5.193258285522461,10.874765679049913,56.876506322219186
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,-20.18657112121582,19.514982223510742,39.70155334472656,0.15569236874580383,130,0.47672492265701294,1.0241974592208862,8.556844711303711,17.949228799728736,83.27979398150839
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,-20.9580020904541,31.62518310546875,52.58318519592285,0.20620855689048767,102,0.1861010491847992,0.4445747137069702,14.440468788146973,77.59477365335819,282.5517933738649
