model,dataset,stage,layer,trace
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,10.07060154080391
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,30.9089526281907
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,5.648021396588195
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,19.40712256077677
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,30.169956476898754
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,9.016987957370779
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,13.122517422393516
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,27.039541803590662
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,3.2641045163894438
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,8.239005318812785
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,17.914294745471025
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,2.519943120319452
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,1.66456843607805
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,3.5894570880466037
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,3.3780818163202357
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,1.7389115584748132
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,2.69762098259396
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,4.58018182143569
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,0.9338966512254306
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,1.7968206130541289
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,2.0494091241824917
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,0.7322613652105685
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,2.215684361755848
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,4.46999588453058
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,0.6501170301691015
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,2.563781017727322
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,1.8648015739435846
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.7436659923539712
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,6.263467139386116
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,36.944693550771596
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,6.632978122681379
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,73.68705788174191
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,80.71838898354389
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,17.313284939733045
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,75.27235912454539
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,129.57223289891294
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,6.125518001042879
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,25.711220093493193
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,30.488268986726418
resnet50_no_weights,CIFAR10,PTQ,fc.weight,17.41729800597481
resnet50_no_weights,CIFAR10,QAT,conv1.weight,183.24382030602658
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,2.399101393019899
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,3.9740559287143475
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,1.5170979227049877
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,3.216872658048357
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,3.987918169602104
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,2.4508184506779624
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,1.0229292584432137
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,4.728630147482219
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,4.788353024645055
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,2.3589966618097744
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,15.995418913224164
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,24.12667251402332
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,11.02279040813446
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,15.950401158168399
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,2.7641284267107644
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,2.696769124171773
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,2.909193681819098
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,4.480977555116017
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,2.488153249025345
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,3.1805098681222823
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,5.15109498160226
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,6.802356565699858
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,4.344486826505417
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,36.62952559334891
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,26.166192531585693
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,13.538739008062025
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,21.21958179473877
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,5.703507834010654
