model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,24.28363213172326,3.145984649658203,0.00019201566465198994,76.39593392434809,80.56,80.4,0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,24.35558874324217,0.42729300260543823,2.607989517855458e-05,10.406972644323158,80.56,80.44,0.12000000000000455
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,59.39872438257391,0.6757228374481201,1.8330155095706385e-05,40.13707458059168,80.56,80.48,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,17.75741797855922,3.1699929237365723,0.00019348101341165602,56.290889335865316,80.56,80.36,0.20000000000000284
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,48.28805580845586,0.35696473717689514,2.178739850933198e-05,17.23713315044869,80.56,80.2,0.35999999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,12.983213608081524,0.7818417549133301,2.1208814966181915e-05,10.150818511757087,80.56,80.72,-0.1599999999999966
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,15.643953460758016,1.8481624126434326,0.00011280288163106889,28.91256677131611,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,38.700243268694194,0.38861334323883057,1.1859538062708452e-05,15.0394309208033,80.56,80.78,-0.21999999999999886
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,30.12902666393079,1.154247522354126,7.82774198645105e-06,34.77635437778351,80.56,80.89,-0.3299999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,26.59528885389629,3.641273021697998,5.556141695706174e-05,96.84070780795803,80.56,80.9,-0.3400000000000034
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,44.96725891113281,2.161837577819824,1.6493511793669313e-05,97.21191008564026,80.56,81.01,-0.45000000000000284
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,11.432819492676678,0.6482105255126953,9.890907676890492e-06,7.4108739314397365,80.56,80.37,0.18999999999999773
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2,15.342342641618515,1.1362980604171753,7.706014407126026e-06,17.43347418592684,80.56,80.49,0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3,9.805450874826182,2.8628458976745605,4.368356167105958e-05,28.071494811845564,80.56,80.52,0.04000000000000625
