model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",41.26327182451884,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",29.95614859263102,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",37.06098062420449,aggregate,3,6.1871897015623425
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",11.528466161092123,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",11.547789065043132,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",7.704961900053354,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",10.260405708729536,aggregate,3,2.2131003452465388
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",5.477783224799416,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",5.3495347181955974,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",5.917483599980672,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",5.5816005143252285,aggregate,3,0.2978674290411658
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",17.990257120132448,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",19.64571164449056,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",16.959298451741535,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",18.19842240545485,aggregate,3,1.3552503643438065
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",13.441187090343899,42,3,
