model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv3.weight,1.2861219147453085e-05,11.223514679108462
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv1.weight,6.527934601763263e-05,2.5713439599361347
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv2.weight,0.00020378419139888138,-3.403417435194132
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv3.weight,1.0426629160065204e-05,10.35632106677336
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,0.00017905767890624702,1.7237041624286835
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,7.688653568038717e-05,1.3109896137990042
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.conv3.weight,1.17164381663315e-05,11.322366133691855
resnet50_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,0.00018173546413891017,-3.3297814634264022
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,9.436887012270745e-06,4.528091357420462
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,2.6569068722892553e-05,-1.1338078566615006
resnet50_no_weights,IMAGENET100,PTQ,layer3.1.conv3.weight,8.584624083596282e-06,6.647667028675388
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv1.weight,1.2014525054837577e-05,3.2853345554126046
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv2.weight,3.790169648709707e-05,-2.551659031536172
resnet50_no_weights,IMAGENET100,PTQ,layer3.2.conv3.weight,8.747773790673818e-06,6.466808756694488
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv1.weight,2.0090321413590573e-05,3.643184897819279
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv2.weight,6.474005203926936e-05,-2.6728794028174137
resnet50_no_weights,IMAGENET100,PTQ,layer3.3.conv3.weight,6.994586328801233e-06,9.454923778129817
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv1.weight,3.2799140171846375e-05,2.17554928733112
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv2.weight,9.311245958087966e-05,-4.7552863833080306
resnet50_no_weights,IMAGENET100,PTQ,layer3.4.conv3.weight,7.4094523370149545e-06,7.597622951787768
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv1.weight,8.195731788873672e-05,0.9960382899404154
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv2.weight,0.00013023318024352193,-1.7956995265160525
resnet50_no_weights,IMAGENET100,PTQ,layer3.5.conv3.weight,7.372273103101179e-06,11.813210333123042
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,0.00032709978404454887,-2.254571539913417
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,0.00010027367534348741,-1.6474377133888438
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv3.weight,6.387182565958938e-06,12.296942829831561
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,0.00012547578080557287,-4.286105667116029
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,0.0001013072906062007,-3.2983472024940235
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,6.17359546595253e-05,-1.595533606045357
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv3.weight,5.175259502721019e-06,11.53254395086902
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv1.weight,0.001199804013594985,-8.472509072519664
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv2.weight,0.00022508240363094956,-5.285150903241599
resnet50_no_weights,IMAGENET100,PTQ,layer4.2.conv3.weight,6.856338586658239e-06,8.930733643621238
resnet50_no_weights,IMAGENET100,PTQ,fc.weight,6.213472806848586e-05,13.597812769425584
resnet50_no_weights,IMAGENET100,QAT,conv1.weight,0.0028769311029464006,1.9910466487622398
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,0.0006218428607098758,5.055213194360921
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,7.230048504425213e-05,5.341569430822377
resnet50_no_weights,IMAGENET100,QAT,layer1.0.conv3.weight,2.0017032511532307e-05,12.209693445994265
resnet50_no_weights,IMAGENET100,QAT,layer1.0.downsample.0.weight,0.00040872133104130626,3.1116583276094296
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,3.526565706124529e-05,1.783072125453984
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,0.00012238525960128754,-5.307110728516187
resnet50_no_weights,IMAGENET100,QAT,layer1.1.conv3.weight,1.6166164641617797e-05,3.4397476493950756
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv1.weight,6.132857379270718e-05,-1.750412031304708
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv2.weight,3.146015296806581e-05,-3.4776956988701753
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv3.weight,1.5450337741640396e-05,-6.325332700815979
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,4.893363075098023e-05,4.276467067693735
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,0.0001039410853991285,0.22574104960846855
resnet50_no_weights,IMAGENET100,QAT,layer2.0.conv3.weight,1.4711401490785647e-05,11.24111850103137
resnet50_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,0.00011869184527313337,0.8567129854949949
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,3.8482772652059793e-05,0.8035629658920961
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,0.00023141312703955919,-5.644804862146975
resnet50_no_weights,IMAGENET100,QAT,layer2.1.conv3.weight,1.333971886197105e-05,7.845948592761792
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv1.weight,7.049100531730801e-05,2.1936346580813035
resnet50_no_weights,IMAGENET100,QAT,layer2.2.conv2.weight,0.00011786301183747128,0.7942767626536283
