model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
resnet18_no_weights,IMAGENET100,QAT,cumulative_top_outlier,2,layer4.1.conv1,layer3.0.downsample.0;layer4.1.conv1,9.402124162902245,82.32,82.26,-0.05999999999998806
resnet18_no_weights,IMAGENET100,QAT,cumulative_top_outlier,3,layer4.0.downsample.0,layer3.0.downsample.0;layer4.1.conv1;layer4.0.downsample.0,9.207180231731886,82.32,82.32,0.0
resnet18_no_weights,IMAGENET100,QAT,cumulative_top_outlier,4,layer1.0.conv1,layer3.0.downsample.0;layer4.1.conv1;layer4.0.downsample.0;layer1.0.conv1,8.275161671448627,82.32,82.5,0.18000000000000682
resnet18_no_weights,IMAGENET100,QAT,cumulative_top_outlier,5,layer3.1.conv1,layer3.0.downsample.0;layer4.1.conv1;layer4.0.downsample.0;layer1.0.conv1;layer3.1.conv1,7.928747761639359,82.32,82.48,0.1600000000000108
resnet18_no_weights,IMAGENET100,QAT,cumulative_low_outlier,1,fc,fc,2.4865026811385564,82.32,82.3,-0.01999999999999602
resnet18_no_weights,IMAGENET100,QAT,cumulative_low_outlier,2,layer1.1.conv1,fc;layer1.1.conv1,4.609732669339096,82.32,82.38,0.060000000000002274
resnet18_no_weights,IMAGENET100,QAT,cumulative_low_outlier,3,layer1.0.conv2,fc;layer1.1.conv1;layer1.0.conv2,4.655937031772572,82.32,82.34,0.020000000000010232
resnet18_no_weights,IMAGENET100,QAT,cumulative_low_outlier,4,conv1,fc;layer1.1.conv1;layer1.0.conv2;conv1,4.735486874058106,82.32,82.36,0.04000000000000625
resnet18_no_weights,IMAGENET100,QAT,cumulative_low_outlier,5,layer2.0.conv1,fc;layer1.1.conv1;layer1.0.conv2;conv1;layer2.0.conv1,4.858498439338398,82.32,82.3,-0.01999999999999602
resnet50_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,1,layer2.3.conv2,layer2.3.conv2,23.63855097242545,63.96,64.0,0.03999999999999915
resnet50_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,2,layer4.2.conv3,layer2.3.conv2;layer4.2.conv3,18.65513504397324,63.96,63.98,0.01999999999999602
resnet50_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,3,layer2.2.conv2,layer2.3.conv2;layer4.2.conv3;layer2.2.conv2,15.895258077156495,63.96,64.0,0.03999999999999915
resnet50_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,4,layer2.3.conv3,layer2.3.conv2;layer4.2.conv3;layer2.2.conv2;layer2.3.conv3,15.041669961354204,63.96,64.14,0.17999999999999972
resnet50_no_weights,IMAGENET100,PTQ,cumulative_top_outlier,5,layer2.1.conv3,layer2.3.conv2;layer4.2.conv3;layer2.2.conv2;layer2.3.conv3;layer2.1.conv3,14.543442175875416,63.96,64.0,0.03999999999999915
resnet50_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,1,layer1.1.conv1,layer1.1.conv1,2.0043333436209294,63.96,64.14,0.17999999999999972
resnet50_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,2,layer1.0.conv2,layer1.1.conv1;layer1.0.conv2,2.421518303450067,63.96,64.04,0.0800000000000054
resnet50_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,3,layer1.1.conv2,layer1.1.conv1;layer1.0.conv2;layer1.1.conv2,2.7158714379903293,63.96,64.1,0.13999999999999346
resnet50_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,4,fc,layer1.1.conv1;layer1.0.conv2;layer1.1.conv2;fc,2.8171600765047233,63.96,64.12,0.1600000000000037
resnet50_no_weights,IMAGENET100,PTQ,cumulative_low_outlier,5,layer1.0.conv3,layer1.1.conv1;layer1.0.conv2;layer1.1.conv2;fc;layer1.0.conv3,2.9735167300075798,63.96,64.24,0.27999999999999403
resnet50_no_weights,IMAGENET100,QAT,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,20.69163856739616,83.14,83.14,0.0
resnet50_no_weights,IMAGENET100,QAT,cumulative_top_outlier,2,layer2.1.conv3,layer4.2.conv3;layer2.1.conv3,15.039416951881611,83.14,83.12,-0.01999999999999602
resnet50_no_weights,IMAGENET100,QAT,cumulative_top_outlier,3,layer2.3.conv2,layer4.2.conv3;layer2.1.conv3;layer2.3.conv2,14.894640885949729,83.14,83.02,-0.12000000000000455
resnet50_no_weights,IMAGENET100,QAT,cumulative_top_outlier,4,layer2.2.conv2,layer4.2.conv3;layer2.1.conv3;layer2.3.conv2;layer2.2.conv2,11.475841072236264,83.14,83.02,-0.12000000000000455
resnet50_no_weights,IMAGENET100,QAT,cumulative_top_outlier,5,layer3.4.conv2,layer4.2.conv3;layer2.1.conv3;layer2.3.conv2;layer2.2.conv2;layer3.4.conv2,11.140415604442126,83.14,83.0,-0.14000000000000057
resnet50_no_weights,IMAGENET100,QAT,cumulative_low_outlier,1,layer1.1.conv1,layer1.1.conv1,1.9657349021605304,83.14,83.16,0.01999999999999602
resnet50_no_weights,IMAGENET100,QAT,cumulative_low_outlier,2,layer1.0.conv2,layer1.1.conv1;layer1.0.conv2,2.466682017358388,83.14,83.14,0.0
resnet50_no_weights,IMAGENET100,QAT,cumulative_low_outlier,3,fc,layer1.1.conv1;layer1.0.conv2;fc,2.7283371556453346,83.14,83.08,-0.060000000000002274
resnet50_no_weights,IMAGENET100,QAT,cumulative_low_outlier,4,layer1.1.conv2,layer1.1.conv1;layer1.0.conv2;fc;layer1.1.conv2,2.8421804639872197,83.14,83.06,-0.0799999999999983
resnet50_no_weights,IMAGENET100,QAT,cumulative_low_outlier,5,layer1.0.conv3,layer1.1.conv1;layer1.0.conv2;fc;layer1.1.conv2;layer1.0.conv3,3.118871423947998,83.14,83.16,0.01999999999999602
