model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",31.550523069169785,0.00024071138816200092,"42,43,44",aggregate,3,9.097501283260534
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",2.562511678095217,3.910082516624782e-05,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",2.831002098321915,4.3197663853788984e-05,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",2.319607663154602,3.539440403983462e-05,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",2.5710404798572446,3.9230964353290475e-05,"42,43,44",aggregate,3,0.25580387492109213
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",84.73266379038493,0.000574630152658318,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",66.43441902796427,0.00045053723841664134,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",62.11100419362386,0.0004212172050891375,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv2,"(128, 128, 3, 3)",71.09269567065769,0.0004821281987213656,"42,43,44",aggregate,3,12.008727105227697
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",16.291371528307597,0.00024858660168926386,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",18.770849776268005,0.0002864204372599488,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",12.924932877222696,0.00019721882442051233,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.1.conv3,"(512, 128, 1, 1)",15.995718060599433,0.00024407528778990834,"42,43,44",aggregate,3,2.934151381125687
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.721052098274232,0.00013307269437063952,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.195813977718354,0.00012505819668149343,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.803598856925964,0.0001343322579486994,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv1,"(128, 512, 1, 1)",8.57348831097285,0.00013082104966694413,"42,43,44",aggregate,3,0.3296694076501458
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",30.08854157584054,0.0002040509818240054,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",35.940085018382355,0.00024373430052613903,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",25.304595708847046,0.00017160777254806212,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",30.44440743435665,0.00020646435163273552,"42,43,44",aggregate,3,5.326667682074133
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",19.174151055018108,0.00029257432640103314,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",22.89638650417328,0.00034937113196065184,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",20.786613925298056,0.00031717855720974817,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",20.952383828163146,0.0003197080051904777,"42,43,44",aggregate,3,1.8666464395430582
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",19.105723730723064,0.0002915302082935038,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",18.020762952168784,0.00027497502063245826,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",19.225843048095705,0.0002933630836196244,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",18.784109910329185,0.00028662277084852883,"42,43,44",aggregate,3,0.6638004945019768
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",25.582038464753523,0.00017348930165441573,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",25.062405172983805,0.00016996531285931943,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",21.6533541245894,0.000146846205814544,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",24.099265920775576,0.00016343360677609304,"42,43,44",aggregate,3,2.134096547844281
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",10.977171373367309,0.0001674983424891252,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",9.957219501336416,0.0001519351120199038,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",13.166611965497335,0.00020090655464931236,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",11.367000946733686,0.00017344666971944711,"42,43,44",aggregate,3,1.639824783157177
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",86.10250412623087,0.0006569099741075964,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",94.84106360541449,0.0007235798920090827,43,43,3,
