model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2,-1.8129992485046387,3.2440149784088135,5.057014226913452,0.019831430166959763,91,0.3983834385871887,0.7226775288581848,2.0920538902282715,5.251357580645041,12.693836482880533,42,3,
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0,-1.4589076042175293,1.8242504596710205,3.28315806388855,0.012875129468739033,113,0.18682780861854553,0.44054922461509705,1.8444113731384277,9.872252887707111,17.573176542427454,42,3,
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1,-1.9324344396591187,1.8261178731918335,3.758552312850952,0.01473942119628191,131,0.19255658984184265,0.4130856692790985,1.8614379167556763,9.666965530936011,19.519208955341693,42,3,
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2,-5.317393779754639,20.425399780273438,25.742793560028076,0.1009521335363388,53,2.5783891677856445,5.066161632537842,17.881479263305664,6.935135892873193,9.984060545110161,42,3,
resnet18_no_weights,IMAGENET100,PTQ,fc,-5.140276908874512,26.051841735839844,31.192118644714355,0.12232203781604767,42,8.316671371459961,16.454044342041016,22.512937545776367,2.706964907021967,3.7505532263491004,42,3,
resnet18_no_weights,IMAGENET100,PTQ,conv1,-4.474223613739014,4.170925140380859,8.645148754119873,0.033902544528245926,132,0.7560681104660034,1.2206059694290161,3.2969605922698975,4.360666118080039,11.434351792448204,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1,-4.130232810974121,3.185574531555176,7.315807342529297,0.028689440339803696,144,0.4427850544452667,0.7429007887840271,2.703411817550659,6.105472148190656,16.52225446429022,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2,-5.151432514190674,2.822547197341919,7.973979711532593,0.03127051144838333,165,0.6435368657112122,0.9690645933151245,2.8546650409698486,4.435899779906133,12.390866998303286,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1,-2.7692923545837402,2.104811429977417,4.874103784561157,0.01911413110792637,145,0.43169158697128296,0.6838679313659668,1.8488967418670654,4.2829112210381295,11.290708301168243,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2,-4.22941255569458,5.310763835906982,9.540176391601562,0.037412457168102264,113,0.6832177639007568,1.1324695348739624,4.031576633453369,5.900866233974253,13.963595350819002,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1,-2.6974995136260986,2.396686315536499,5.094185829162598,0.019977198913693428,135,0.42503422498703003,0.7045151591300964,1.9605251550674438,4.61262891271231,11.98535442485378,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2,-2.3319265842437744,4.77102518081665,7.102951765060425,0.027854714542627335,84,0.5617773532867432,0.9318996667861938,4.108642101287842,7.313648507277407,12.643713249570824,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0,-4.555429935455322,5.110308647155762,9.665738582611084,0.03790485858917236,120,0.5480588674545288,0.9755516052246094,3.322030544281006,6.061448398253728,17.636314557784303,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1,-2.199957847595215,3.265625476837158,5.465583324432373,0.02143366076052189,103,0.3373953104019165,0.5913069844245911,2.1836516857147217,6.472086654415804,16.199345859080225,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2,-2.641606092453003,2.9831459522247314,5.624752044677734,0.022057851776480675,120,0.3488897681236267,0.6430932283401489,2.185431718826294,6.263960478347709,16.121860136307127,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1,-1.8786364793777466,3.483994722366333,5.36263120174408,0.02102992683649063,89,0.42583584785461426,0.7174214124679565,3.290849447250366,7.7279765520677905,12.593188734018817,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2,-2.9996256828308105,5.33510684967041,8.33473253250122,0.03268522396683693,92,0.6066901683807373,1.0358213186264038,5.632453441619873,9.283904264763269,13.738037909443486,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0,-1.1983375549316406,2.1020703315734863,3.300407886505127,0.012942776083946228,93,0.17992740869522095,0.36027076840400696,1.9273828268051147,10.712002361296209,18.342996825434685,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1,-2.013057231903076,2.259812116622925,4.272869348526001,0.016756350174546242,120,0.25734448432922363,0.5139126777648926,2.005868434906006,7.79448776659956,16.603695080791677,43,3,
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2,-5.982751369476318,2.025857448577881,8.0086088180542,0.03140630945563316,190,0.2581248879432678,0.5457056760787964,1.767716884613037,6.848300831036316,31.026100899710134,43,3,
