model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,9.276694297790527,1.5603943381847785e-07,0.01610537204477522,2.7090179482374627e-10,4.362974193233796e-12,0.0005501282694577067
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,1.0414546728134155,3.484831267996924e-07,0.016272729262709618,1.3612622140612984e-09,2.2151451464976175e-11,0.00032216866306303667
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,17.484952926635742,6.976789990176258e-08,0.06830059736967087,5.450617179825201e-10,3.72280409415452e-11,0.001448729619086306
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,18.258403778076172,8.918232197174802e-07,0.015849308835135564,7.741521004492016e-10,1.2269775725388286e-11,0.0004315012364457242
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,2.6131553649902344,1.968500555449282e-06,0.020415276288986206,3.8447276473618786e-09,7.849117717679668e-11,0.0004244582709244212
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,17.394460678100586,4.3739092348005215e-07,0.06794711202383041,8.542791474219769e-10,5.80458009295034e-11,0.00030291480652522296
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,19.038650512695312,1.4561787509137503e-07,0.03718486428260803,1.1376396491513674e-09,4.2302975956207415e-11,0.00011773216967412736
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,11.123141288757324,2.0830826485962461e-07,0.009655504590935178,1.8082314657953524e-10,1.7459387219460472e-12,6.311753067583312e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,1.2414249181747437,1.2783483498424175e-06,0.009698632173240185,2.4967741207859717e-09,2.42152938171683e-11,0.0001548072629124032
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,22.506301879882812,1.0017358675895593e-07,0.04395762085914612,7.826061465543432e-10,3.440150427227316e-11,0.00013488589764973667
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,9.724555969238281,1.7353679027110047e-07,0.008441454834408231,1.5063957488810806e-10,1.2716171676924205e-12,5.034930637781644e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,0.8064619302749634,1.6279717556244577e-06,0.006300483830273151,3.179632335204019e-09,2.0033222114166582e-11,0.00012102612056290073
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,24.607345581054688,2.0033762382354325e-07,0.048061221837997437,1.5651376861214317e-09,7.522242953969213e-11,0.0001849833451243202
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,12.372767448425293,2.7108919198326475e-07,0.010740249521202512,2.3532047915213955e-10,2.5274006635429127e-12,9.250933334103548e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,0.9157118201255798,1.946489192050649e-06,0.0071539985947310925,3.8017367032239235e-09,2.7197619032401565e-11,9.166752606688533e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,27.377521514892578,4.429085436186142e-07,0.05347172170877457,1.7301114985102117e-09,9.251204057348898e-11,0.0006232711105743268
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,27.172229766845703,3.310298779979348e-06,0.011793502502971225,1.4367616232549254e-09,1.6944451800029962e-11,0.00011742970485600733
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,4.046664714813232,8.3643553807633e-06,0.01580728404223919,8.16831580152666e-09,1.2911888802144258e-10,0.0001220383528561797
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,26.812957763671875,1.2723039617412724e-06,0.05236905813217163,1.2424843376379613e-09,6.506773450607516e-11,7.056273328392611e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,33.051448822021484,7.191226245595317e-07,0.032276805490255356,2.8090727521856707e-09,9.066789483027318e-11,6.28080211494567e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,19.46144676208496,1.234162141372508e-06,0.008446808490488265,5.356606516373732e-10,4.524622940271041e-12,2.91701915788479e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.1.conv3,1.404313325881958,1.054149106494151e-05,0.0054855989292263985,1.0294424868106944e-08,5.647108603348906e-11,5.226495059105218e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv1,37.4445915222168,8.786361149759614e-07,0.03656698390841484,3.432172324124849e-09,1.2550419014718013e-10,0.00010162567195948213
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv2,17.618223190307617,1.323397100350121e-06,0.007646798259682125,5.743911025825178e-10,4.3922528836048946e-12,3.503587561449511e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.2.conv3,1.2452573776245117,1.1914222341147251e-05,0.004864286631345749,1.1634982755026613e-08,5.659589107121428e-11,5.058752317013018e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv1,42.606807708740234,1.2682704664257471e-06,0.041608210653066635,4.954181509475575e-09,2.0613462785978735e-10,0.00019298071052425687
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv2,18.152803421020508,1.7636961047173827e-06,0.007878820929262374,7.654931010058085e-10,6.03118306541052e-12,5.252727724938369e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.3.conv3,1.5340124368667603,1.0328073585696984e-05,0.005992236081510782,1.0086009361032211e-08,6.043774921163272e-11,6.268314252468241e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv1,51.82764434814453,8.688895150044118e-07,0.050612933933734894,3.3940996679859836e-09,1.7178534226028613e-10,0.00019853808137873608
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv2,14.550808906555176,1.2057564617862226e-06,0.006315455254581239,5.233317976502703e-10,3.3050785513598452e-12,4.0548264691660624e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.4.conv3,1.3327828645706177,9.652009794081096e-06,0.005206183064728975,9.42579081453232e-09,4.90723925102961e-11,6.466087099397555e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv1,61.296180725097656,6.354422339427401e-07,0.05985955148935318,2.4821962263388286e-09,1.4858315281720727e-10,0.00012447872904886026
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv2,11.109044075012207,7.047962640172045e-07,0.004821633713112937,3.059011562574672e-10,1.4749433278912326e-12,1.1260664096981702e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer3.5.conv3,1.112253189086914,4.72478268420673e-06,0.004344739019870758,4.6140455900456345e-09,2.0046823914533864e-11,2.6233125863655006e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,66.16422271728516,4.6202086423363653e-07,0.06461349874734879,9.023845004563213e-10,5.830621978986148e-11,0.00012358651700196787
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,24.808324813842773,2.7579153538681567e-06,0.005383751044670741,5.985059361693048e-10,3.2222069590931348e-12,6.837787462727112e-06
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,3.7845489978790283,1.468001300963806e-05,0.007391697261482477,7.167975102362334e-09,5.298350193450624e-11,1.1283142379024634e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,64.9576187133789,5.173933004698483e-06,0.06343517452478409,2.5263344749504313e-09,1.6025846832645938e-10,3.858262061839923e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,21.287338256835938,7.756476406939328e-06,0.010394208133220673,1.5149367982303374e-08,1.5746568389481059e-10,3.294715740291091e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,38.89155197143555,1.4034552805242129e-05,0.008440006938245561,3.0456928830820593e-09,2.5705669064977708e-11,4.536349890894064e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,2.6438076496124268,4.086384069523774e-05,0.005163686815649271,1.9953047214471553e-08,1.0303128683339417e-10,2.183448169809118e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,43.12022018432617,2.7506025617185514e-06,0.021054795011878014,5.372270628356546e-09,1.1311205682838016e-10,3.461446281757422e-05
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,28.937467575073242,1.411557263963914e-06,0.00627983237306277,3.0632753124216883e-10,1.923685547454969e-12,4.6575399109214135e-06
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,4.515995025634766,3.431434151934809e-06,0.008820302784442902,1.6755049569994185e-09,1.4778461037569855e-11,5.177725702546572e-06
