model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.3717713952064514,0.651016891002655,1.7780663967132568,4.782687478486246,11.282277925553874,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.383864164352417,0.6676005125045776,2.1051080226898193,5.4839920424485555,11.162460878374056,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.35811764001846313,0.6081871390342712,1.4117692708969116,3.942194165090908,9.619057700479194,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.3942250609397888,0.7064511179924011,1.7936426401138306,4.549793551526089,12.50672822901848,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.3912459909915924,0.6730096936225891,2.2033987045288086,5.631747686268708,9.399433898609518,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.36881786584854126,0.687597393989563,2.159127950668335,5.854184817486587,9.698481690479088,42,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9094060659408569,1.57886803150177,3.3187098503112793,3.6493157178117075,5.632795890125266,42,3,
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.092093467712402,15.939759254455566,17.48710823059082,1.4461605244190239,1.8009553073907847,42,3,
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9521777629852295,1.5303717851638794,3.1166458129882812,3.2731764321160983,8.841408630493401,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7093893885612488,1.1783503293991089,2.785468578338623,3.926572096021881,13.57670372981602,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.7907604575157166,1.4074387550354004,3.666368246078491,4.636509338867164,11.730016049888295,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6615585088729858,1.325615406036377,3.3899998664855957,5.124263116592231,13.040135650516122,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.6740151643753052,1.1170275211334229,2.8391594886779785,4.212308029166355,10.603356285026889,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.49404484033584595,0.7998863458633423,1.7267379760742188,3.495103753943473,8.4070738742169,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.613105297088623,1.0175095796585083,3.02958083152771,4.941371157473119,9.318629231397406,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6281571388244629,1.15823495388031,4.243320941925049,6.755190189935636,11.633538316958175,43,3,
