model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv1.weight,127.66083105679216
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv2.weight,971.3246127041904
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv3.weight,589.5089389966881
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.downsample.0.weight,459.1448244367327
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv1.weight,191.14807478586832
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv2.weight,1577.0965576171875
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv3.weight,680.6568154727711
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv1.weight,119.8485301208496
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv2.weight,1121.1429002549912
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv3.weight,722.225965459296
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv1.weight,240.97010401675576
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv2.weight,1897.3758404071514
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv3.weight,618.1725480821398
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv1.weight,318.5714905567658
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv2.weight,3244.3484810494087
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv3.weight,1338.4748246042352
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.downsample.0.weight,1648.3368521427763
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv1.weight,473.33961798928
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv2.weight,5395.025040443497
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv3.weight,2478.7701079269937
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv1.weight,595.2893153381348
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv2.weight,5457.5855712890625
