model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer1.1.conv1,conv1;fc;layer1.2.conv1;layer1.1.conv1,3.8752914040959223,11.81,10.67,-1.1400000000000006
resnet50_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,layer1.1.conv2,conv1;fc;layer1.2.conv1;layer1.1.conv1;layer1.1.conv2,3.8753883602243238,11.81,10.65,-1.1600000000000001
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,1,layer4.2.conv3,layer4.2.conv3,21.851772510734854,84.68,84.64,-0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,2,layer4.1.conv3,layer4.2.conv3;layer4.1.conv3,18.86651527654155,84.68,84.64,-0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,3,layer1.2.conv3,layer4.2.conv3;layer4.1.conv3;layer1.2.conv3,12.943741262176102,84.68,84.66,-0.020000000000010232
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,4,layer1.1.conv3,layer4.2.conv3;layer4.1.conv3;layer1.2.conv3;layer1.1.conv3,9.851837730509542,84.68,84.66,-0.020000000000010232
resnet50_no_weights,CIFAR10,QAT,cumulative_top_outlier,5,layer1.0.conv2,layer4.2.conv3;layer4.1.conv3;layer1.2.conv3;layer1.1.conv3;layer1.0.conv2,8.546282937159782,84.68,84.66,-0.020000000000010232
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,1,fc,fc,1.3161390337744105,84.68,84.67,-0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,2,layer3.1.conv1,fc;layer3.1.conv1,3.183889425797318,84.68,84.69,0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,3,layer2.1.conv1,fc;layer3.1.conv1;layer2.1.conv1,3.2542429230248655,84.68,84.73,0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,4,conv1,fc;layer3.1.conv1;layer2.1.conv1;conv1,3.3954292595257294,84.68,84.61,-0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,cumulative_low_outlier,5,layer1.2.conv1,fc;layer3.1.conv1;layer2.1.conv1;conv1;layer1.2.conv1,3.6004881438714755,84.68,84.47,-0.21000000000000796
