model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,0.0688294842839241
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,0.20529690384864807
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,0.12694239616394043
resnet50_no_weights,CIFAR10,PTQ,fc.weight,13.330827713012695
resnet50_no_weights,CIFAR10,QAT,conv1.weight,34.758358001708984
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,0.41845107078552246
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,0.733517587184906
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,0.17509031295776367
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,0.5637438297271729
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,0.7516329884529114
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,0.4089810848236084
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,0.1364591121673584
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,0.8817116022109985
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,1.1845228672027588
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,0.7127398252487183
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,9.8718843460083
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,6.16141414642334
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,2.185436248779297
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,3.630939245223999
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,0.4611700177192688
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,0.5194399356842041
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,0.46750208735466003
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,1.2875161170959473
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,0.4708939790725708
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,0.5013636350631714
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,0.860242486000061
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,1.1109130382537842
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,0.5929849147796631
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,5.972251892089844
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,3.9103493690490723
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,1.844111680984497
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,2.51485538482666
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,1.2900668382644653
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,1.1715247631072998
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,0.8132666349411011
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,2.3636043071746826
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,1.6239421367645264
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,0.7958036661148071
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,2.884753704071045
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,2.9420952796936035
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,1.1998286247253418
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,4.274004936218262
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,1.6144317388534546
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,1.2622787952423096
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,7.176199913024902
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,0.7328883409500122
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,0.6854552030563354
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,8.196226119995117
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,1.4667255878448486
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,0.8378174304962158
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,8.16726016998291
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,2.7120532989501953
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,6.5397443771362305
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,1.6684236526489258
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,3.876603603363037
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,0.9695850610733032
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,0.5856218338012695
resnet50_no_weights,CIFAR10,QAT,fc.weight,0.859825074672699
