model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv2,"(128, 128, 3, 3)",9.767233294210556,6.623829002692705e-05,"42,43,44",aggregate,3,1.8391682378963528
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",16.819442385718936,0.000256644323512557,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",20.436957772572836,0.00031184322773090875,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",15.180080890655518,0.00023162965226219967,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.2.conv3,"(512, 128, 1, 1)",17.478827016315762,0.00026670573450188846,"42,43,44",aggregate,3,2.6897545810370267
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",38.94496878262224,0.0005942530636996802,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",41.33029153611925,0.0006306502004412727,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",48.407090950012204,0.000738633589935489,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv1,"(128, 512, 1, 1)",42.89411708958456,0.0006545122846921472,"42,43,44",aggregate,3,4.921087455929478
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",57.004122797648115,0.0003865839490942933,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",49.02061389287313,0.00033244231426915916,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",62.65420254071554,0.00042490100464352443,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv2,"(128, 128, 3, 3)",56.22631307707893,0.00038130908933565896,"42,43,44",aggregate,3,6.849994585815619
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",28.71615940729777,0.0004381738190810817,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",30.478629366556802,0.00046506697641840824,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",27.357551850770648,0.0004174431129573158,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer2.3.conv3,"(512, 128, 1, 1)",28.850780208208405,0.0004402279694856019,"42,43,44",aggregate,3,1.5648876269287948
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",230.10000276565552,0.001755523702740902,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",188.05294108390808,0.0014347300802910468,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",194.8630381266276,0.0014866869974260529,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv1,"(256, 512, 1, 1)",204.3386606587304,0.0015589802601526672,"42,43,44",aggregate,3,22.56832771375272
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,"(256, 256, 3, 3)",329.6756523980035,0.0005589390265536897,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,"(256, 256, 3, 3)",287.66408486201846,0.0004877117324185154,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,"(256, 256, 3, 3)",288.25271745161575,0.0004887097124762908,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv2,"(256, 256, 3, 3)",301.8641515705459,0.0005117868238161653,"42,43,44",aggregate,3,24.087264389883284
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,"(1024, 256, 1, 1)",187.8347256978353,0.0007165326145089542,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,"(1024, 256, 1, 1)",163.43166828155518,0.0006234423381101806,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,"(1024, 256, 1, 1)",163.77108312536168,0.0006247371029867618,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.conv3,"(1024, 256, 1, 1)",171.67915903491738,0.0006549040185352988,"42,43,44",aggregate,3,13.992160349961598
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,"(1024, 512, 1, 1)",302.01808954874673,0.0005760537901854453,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,"(1024, 512, 1, 1)",286.39681427001955,0.0005462585721397773,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,"(1024, 512, 1, 1)",251.9966350737072,0.00048064543738118593,44,44,3,
