model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,ptq,layer2.2.conv3,0.3695887327194214,9.931333624990657e-05,0.0028874119743704796,1.9397135986309877e-07,5.600752271536368e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.2.conv3,0.3705408076445262,0.00012756497744703665,0.002894850059722861,2.4915034657624346e-07,7.212528956662099e-10,0.00041380770255475204,aggregate,3,0.01341984330236106
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv1,12.584244728088379,6.101983217376983e-06,0.024578602984547615,4.767174388575768e-08,1.1717048665490732e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv1,13.015578269958496,5.7725751503312495e-06,0.025421051308512688,4.5098243361962886e-08,1.1464447584282503e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv1,11.847658157348633,4.270756107871421e-06,0.02313995733857155,3.3365282092745474e-08,7.720712042155355e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv1,12.48249371846517,5.381771491859884e-06,0.024379870543877285,4.2045089780155344e-08,1.0250538458458852e-09,0.000414726301730694,aggregate,3,0.5905711627984944
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv2,7.39321231842041,7.352919965342153e-06,0.006417719026406606,6.382743025470619e-09,4.096265135522685e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv2,7.855716228485107,6.999112429184606e-06,0.006819198115004433,6.075618428111637e-09,4.1430845732465074e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv2,7.157758712768555,5.199483894102741e-06,0.006213332215944926,4.5134408802975185e-09,2.80435076263154e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv2,7.4688957532246905,6.517172096209833e-06,0.006483416452451989,5.6572674446265916e-09,3.667842082641306e-11,0.00013520284908626114,aggregate,3,0.3550804981467383
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv3,0.785679817199707,8.018378139240667e-05,0.006138123571872711,1.5660894803204428e-07,9.612850754816794e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv3,0.8670623898506165,7.820557220838964e-05,0.006773924920707941,1.5274525821951102e-07,1.0346849111731151e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv3,0.7808087468147278,5.609002982964739e-05,0.006100068334490061,1.0955083951103006e-07,6.682676071180371e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv3,0.8111836512883505,7.14931278101479e-05,0.006337372275690238,1.396350152541951e-07,8.849190743875196e-10,0.0004807643435520327,aggregate,3,0.048453657232002754
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv1,13.960797309875488,9.509136361884885e-06,0.027267182245850563,3.714506391361283e-08,1.0128412272662482e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv1,14.45492172241211,9.640832104196306e-06,0.02823226898908615,3.765950040701682e-08,1.0632131454854983e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv1,13.141923904418945,7.264777650561882e-06,0.025667820125818253,2.8378037697507352e-08,7.284023671433083e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv1,13.852547645568848,8.804915372214358e-06,0.027055757120251656,3.439420067271234e-08,9.305611397461011e-10,0.0009365465837098392,aggregate,3,0.6631585857700839
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv2,9.741968154907227,6.828711775597185e-05,0.004228284789456261,2.9638505970473894e-08,1.2532004397716334e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv2,9.586162567138672,6.853497325209901e-05,0.004160660836431716,2.9746082140667973e-08,1.2376335899995813e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv2,9.614134788513184,5.137870175531134e-05,0.004172801557514403,2.229978374796499e-08,9.305257235574269e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv2,9.647421836853027,6.273359758779407e-05,0.004187249061134127,2.722812395303562e-08,1.1401093645879203e-10,0.00014044335967125258,aggregate,3,0.08306543195192884
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv3,2.1850321292877197,0.0005776818725280464,0.008535281755030155,5.641424536406703e-07,4.815114791797158e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv3,2.0946149826049805,0.0005744083318859339,0.008182089775800705,5.609456366073573e-07,4.589707558065076e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv3,2.1921021938323975,0.00044655779493041337,0.008562899194657803,4.360915966117318e-07,3.7342083814236336e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.conv3,2.1572497685750327,0.0005328826664481312,0.008426756908496221,5.203932289532531e-07,4.385227237216482e-09,0.0007204707297089969,aggregate,3,0.05435838264060247
resnet50_no_weights,IMAGENET100,ptq,layer3.0.downsample.0,13.826991081237793,8.929493924370036e-05,0.027005841955542564,8.720208910517613e-08,2.3549658365675266e-09,,42,3,
