model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-2.44282865524292,4.93294095993042,7.37576961517334,0.02892458625137806,84,1.1832317113876343,2.0830063819885254,3.920531988143921,3.3134101718302658,6.233580070739831,42,3,
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,13.742436408996582,19.15839958190918,20.811315536499023,1.514383251784578,1.9760481080172927,42,3,
resnet18_no_weights,CIFAR10,QAT,conv1,-3.875082015991211,4.925522327423096,8.800604343414307,0.034512173384428024,112,0.9217623472213745,1.5309613943099976,3.305433511734009,3.585993202801287,9.547584982119815,43,3,
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,-4.899887561798096,3.893275260925293,8.793162822723389,0.03448299318552017,142,0.6881140470504761,1.1370420455932617,2.660430908203125,3.866264494391249,12.778641651648151,43,3,
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,-5.336009502410889,4.227354526519775,9.563364028930664,0.03750338777899742,142,0.7688610553741455,1.3614184856414795,3.4717354774475098,4.515426361084296,12.438351457763602,43,3,
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,-5.10771369934082,4.155684947967529,9.26339864730835,0.0363270565867424,141,0.6575354337692261,1.3041177988052368,3.7470297813415527,5.698597503502207,14.088060006450553,43,3,
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,-4.28796911239624,2.919454574584961,7.207423686981201,0.028264407068490982,152,0.6573240756988525,1.0939255952835083,2.87021803855896,4.3665189587151625,10.964794921467659,43,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,-2.066523790359497,2.285728931427002,4.352252721786499,0.01706765778362751,121,0.5054858922958374,0.8223184943199158,1.8385396003723145,3.637172922911769,8.610037961730745,43,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,-2.6365630626678467,3.15761661529541,5.794179677963257,0.0227222740650177,116,0.6344318389892578,1.033907413482666,2.944673776626587,4.641434423149192,9.132863960916948,43,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-2.432910680770874,5.255498886108398,7.6884095668792725,0.030150625854730606,81,0.6254557371139526,1.1350698471069336,4.596499919891357,7.349041102574321,12.292491875373925,43,3,
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,-2.464460849761963,2.3227124214172363,4.787173271179199,0.01877322793006897,131,0.4676482379436493,0.7876962423324585,2.028183937072754,4.336986162914071,10.23669690755051,43,3,
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,-3.072511911392212,4.2278876304626465,7.300399541854858,0.028629017993807793,107,0.4681135416030884,0.7978630661964417,3.7559895515441895,8.023672074688406,15.595360725635317,43,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,-1.8534657955169678,2.229480028152466,4.082945823669434,0.01601155288517475,116,0.4960622787475586,0.8126704692840576,1.8760881423950195,3.781960900416988,8.230712147631781,43,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,-2.2041921615600586,2.7604377269744873,4.964629888534546,0.019469138234853745,113,0.5680851340293884,0.9592325687408447,2.2729034423828125,4.000990883639687,8.739235708072082,43,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,-1.622721791267395,2.0416901111602783,3.6644119024276733,0.014370243065059185,113,0.36223143339157104,0.6311519742012024,1.4275312423706055,3.940936955704362,10.116217325806884,43,3,
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,-2.0638198852539062,2.3378453254699707,4.401665210723877,0.017261432483792305,120,0.39224955439567566,0.7145615220069885,2.1613481044769287,5.510135270406712,11.22159390978878,43,3,
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,-2.116673231124878,2.8651058673858643,4.981779098510742,0.019536389037966728,108,0.4336695969104767,0.8395629525184631,4.029933929443359,9.29263650980649,11.487499086866219,43,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,-1.6333496570587158,2.2599117755889893,3.893261432647705,0.01526769157499075,107,0.40810278058052063,0.7406733632087708,1.9769054651260376,4.844136230372938,9.539904205282781,43,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,-2.220700263977051,2.8133530616760254,5.034053325653076,0.01974138617515564,112,0.4936663806438446,0.951149046421051,2.726036787033081,5.5220223493399665,10.197278006024257,43,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-1.6326534748077393,2.5875322818756104,4.22018575668335,0.016549747437238693,99,0.43886417150497437,0.8164693713188171,2.1191937923431396,4.828814767621374,9.616154679957772,43,3,
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,-1.7486515045166016,2.7283220291137695,4.476973533630371,0.01755675859749317,100,0.5044326186180115,0.9786497354507446,3.3098878860473633,6.561605581961426,8.875265731022484,43,3,
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-2.44282865524292,4.93294095993042,7.37576961517334,0.02892458625137806,84,1.268970251083374,2.3043482303619385,5.994668483734131,4.724041780030877,5.812405459368595,43,3,
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,15.916220664978027,19.790369033813477,20.277694702148438,1.2740269897594079,1.706166057706083,43,3,
resnet18_no_weights,CIFAR10,QAT,conv1,-3.875082015991211,4.925522327423096,8.800604343414307,0.034512173384428024,112,0.9409788846969604,1.5644878149032593,3.9328577518463135,4.179538792852806,9.352605554213383,44,3,
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,-4.899887561798096,3.893275260925293,8.793162822723389,0.03448299318552017,142,0.6983599066734314,1.1394686698913574,2.8356881141662598,4.0604967253543816,12.591162148194837,44,3,
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,-5.336009502410889,4.227354526519775,9.563364028930664,0.03750338777899742,142,0.784656286239624,1.3806965351104736,3.56723690032959,4.546241408993442,12.18796586051964,44,3,
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,-5.10771369934082,4.155684947967529,9.26339864730835,0.0363270565867424,141,0.6778470873832703,1.3284419775009155,3.9470596313476562,5.822935149850247,13.665912002467028,44,3,
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,-4.28796911239624,2.919454574584961,7.207423686981201,0.028264407068490982,152,0.6647371053695679,1.1005891561508179,2.6327784061431885,3.9606310297353815,10.84251748362107,44,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,-2.066523790359497,2.285728931427002,4.352252721786499,0.01706765778362751,121,0.5181249380111694,0.8360552787780762,2.091172933578491,4.036039920420528,8.400006258128952,44,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,-2.6365630626678467,3.15761661529541,5.794179677963257,0.0227222740650177,116,0.6515285968780518,1.0678224563598633,2.8071327209472656,4.308533400373037,8.893208534095654,44,3,
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-2.432910680770874,5.255498886108398,7.6884095668792725,0.030150625854730606,81,0.6345144510269165,1.1477701663970947,4.602872848510742,7.2541655135849465,12.116996790910164,44,3,
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,-2.464460849761963,2.3227124214172363,4.787173271179199,0.01877322793006897,131,0.4733176827430725,0.7951251864433289,2.0135738849639893,4.254169996976433,10.114080765872812,44,3,
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,-3.072511911392212,4.2278876304626465,7.300399541854858,0.028629017993807793,107,0.47886770963668823,0.8212907910346985,3.600743055343628,7.519285562343455,15.245128027934046,44,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,-1.8534657955169678,2.229480028152466,4.082945823669434,0.01601155288517475,116,0.5021628141403198,0.8163895010948181,1.9583361148834229,3.8998031310542305,8.130721169904334,44,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,-2.2041921615600586,2.7604377269744873,4.964629888534546,0.019469138234853745,113,0.5795339345932007,0.9548395872116089,2.389521360397339,4.1231776394157915,8.566590482780667,44,3,
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,-1.622721791267395,2.0416901111602783,3.6644119024276733,0.014370243065059185,113,0.37028396129608154,0.6451681852340698,1.8960840702056885,5.120621653632918,9.896220969445622,44,3,
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,-2.0638198852539062,2.3378453254699707,4.401665210723877,0.017261432483792305,120,0.3949861228466034,0.701691746711731,1.9239075183868408,4.870823067204334,11.143847735717301,44,3,
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,-2.116673231124878,2.8651058673858643,4.981779098510742,0.019536389037966728,108,0.41321733593940735,0.7433109879493713,2.0937187671661377,5.066870591008197,12.0560747703994,44,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,-1.6333496570587158,2.2599117755889893,3.893261432647705,0.01526769157499075,107,0.39375850558280945,0.685977041721344,1.8209364414215088,4.6245005900921585,9.887434499694717,44,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,-2.220700263977051,2.8133530616760254,5.034053325653076,0.01974138617515564,112,0.458038330078125,0.8403233885765076,2.1861929893493652,4.772947689719501,10.990463013858351,44,3,
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,-1.6326534748077393,2.5875322818756104,4.22018575668335,0.016549747437238693,99,0.4322398900985718,0.7625120878219604,2.464416265487671,5.7015012310077715,9.763526813133655,44,3,
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,-1.7486515045166016,2.7283220291137695,4.476973533630371,0.01755675859749317,100,0.455340176820755,0.8621981143951416,1.858327865600586,4.0811858039316355,9.832151348666812,44,3,
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,-2.44282865524292,4.93294095993042,7.37576961517334,0.02892458625137806,84,1.1359106302261353,1.9966230392456055,3.5306739807128906,3.1082321854933337,6.49326577188998,44,3,
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,14.23866081237793,17.007801055908203,17.60846710205078,1.2366659571484009,1.9071818497100999,44,3,
resnet18_no_weights,CIFAR10,QAT,conv1,-3.875082015991211,4.925522327423096,8.800604343414307,0.034512173384428024,112,0.9321093161900839,1.5270695686340332,3.6450414657592773,3.9084498730634145,9.442283435353458,aggregate,3,0.30008844730991113
resnet18_no_weights,CIFAR10,QAT,fc,-6.585628032684326,20.570087432861328,27.155715465545654,0.10649300366640091,62,14.632439295450846,18.65218989054362,19.565825780232746,1.3416920662307956,1.863132005144492,aggregate,3,0.15071710541746208
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,-4.899887561798096,3.893275260925293,8.793162822723389,0.03448299318552017,142,0.6943465073903402,1.1470143000284831,2.8616620699564614,4.120395127421228,12.664466838803705,aggregate,3,0.2887771044406239
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,-5.336009502410889,4.227354526519775,9.563364028930664,0.03750338777899742,142,0.7828367153803507,1.3839640617370605,3.6185574531555176,4.620863900972089,12.218604970602758,aggregate,3,0.15669589369609566
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,-5.10771369934082,4.155684947967529,9.26339864730835,0.0363270565867424,141,0.6726584235827128,1.323508381843567,3.7499939600626626,5.576974522349715,13.774957679028931,aggregate,3,0.3243504965120706
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,-4.28796911239624,2.919454574584961,7.207423686981201,0.028264407068490982,152,0.6633817752202352,1.1052385965983074,2.62239662806193,3.9553053212317497,10.865169962625645,aggregate,3,0.4139021898822958
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,-2.066523790359497,2.285728931427002,4.352252721786499,0.01706765778362751,121,0.5115553538004557,0.8303549885749817,1.9259454409281414,3.763167527812493,8.508750788414307,aggregate,3,0.2365449932185387
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,-2.6365630626678467,3.15761661529541,5.794179677963257,0.0227222740650177,116,0.6412796576817831,1.045122742652893,2.858900785446167,4.45951579829877,9.036529383085677,aggregate,3,0.1685928834310764
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-2.432910680770874,5.255498886108398,7.6884095668792725,0.030150625854730606,81,0.6289953788121542,1.1375988324483235,4.5059003829956055,7.163439176627295,12.223797663032812,aggregate,3,0.24396378011183886
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,-2.464460849761963,2.3227124214172363,4.787173271179199,0.01877322793006897,131,0.47037383913993835,0.7911786437034607,2.085551897684733,4.4340484054320415,10.177627287617213,aggregate,3,0.24338595369578037
