model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,1356.2034912109375,8.572520471261669e-08,0.2943149937523736,1.860356005048105e-11,5.475306660029237e-12,,42,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,76.32673645019531,2.9873433504690183e-08,0.016563961903254192,6.482949979316446e-12,1.0738333647810016e-13,,43,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,277.96148681640625,5.596467386737025e-11,0.06032150321536594,1.214511151635639e-14,7.326113833848699e-16,,44,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,570.1639048258463,3.855153429705808e-08,0.12373348629033123,8.366218380437951e-12,1.0351813672778364e-12,1.0967690071817592e-07,aggregate,3,688.1553724720493
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,169.7029266357422,3.392677172087133e-05,0.33145102858543396,1.6565806504331704e-08,5.490753605208015e-09,,42,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,9.666337966918945,3.105819268967025e-05,0.018879566341638565,1.5165133149253052e-08,2.8631113737110517e-10,,43,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,36.81761932373047,3.40419246640522e-05,0.07190941274166107,1.662203352736924e-08,1.1952806695253231e-09,,44,3,
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,72.06229464213054,3.300896302486459e-05,0.1407466692229112,1.6117657726984664e-08,2.2685066407480095e-09,1.2930318648322824e-07,aggregate,3,85.6420911813409
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,42.071197509765625,1.1366312691052372e-07,1.5581925003616899,1.9733181755299256e-10,3.0748095819381426e-10,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,39.1317138671875,3.264644590217358e-07,1.4493227358217593,5.667785746905136e-10,8.214450744756125e-10,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,38.804786682128906,7.253166245391185e-08,1.43721432156033,1.2592302509359696e-10,1.8097837507871836e-10,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,40.00256601969401,1.708864161287238e-07,1.4815765192479264,2.9667780577903435e-10,4.395508708242141e-10,0.014353533855024539,aggregate,3,1.7989295504186693
resnet18_no_weights,CIFAR10,fp32_unfused,fc,31.3422794342041,3.138856845907867e-05,0.061215389519929886,3.138856845907867e-06,1.9214634446954862e-07,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,fc,35.74957275390625,5.041823169449344e-05,0.06982338428497314,5.0418231694493444e-06,3.5203715665734286e-07,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,fc,31.785491943359375,2.8597878554137424e-05,0.06208103895187378,2.8597878554137424e-06,1.7753860124603612e-07,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,fc,32.95911471048991,3.680155956923651e-05,0.0643732709189256,3.680155956923651e-06,2.3690367643894407e-07,0.0008748199959302804,aggregate,3,2.4267470822313033
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,30.20819664001465,9.374578269216727e-08,0.052444785833358765,1.6275309495167928e-10,8.535551208457123e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,29.90313720703125,2.6759667548503785e-07,0.05191516876220703,4.6457756160596847e-10,2.4118622513908486e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,30.228559494018555,6.292120957596126e-08,0.05248013801044888,1.0923821106937719e-10,5.732836392935459e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,30.113297780354817,1.414212225843888e-07,0.052280030868671556,2.45522955875675e-10,1.2835947712147772e-11,0.00120795179366455,aggregate,3,0.18228895027007017
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,17.877656936645508,9.18629794455228e-08,0.031037598848342896,1.5948433931514375e-10,4.950010946256433e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,17.691267013549805,2.309992481741574e-07,0.0307140052318573,4.010403614134677e-10,1.231755575863919e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,18.08439826965332,6.396333418479117e-08,0.03139652477370368,1.110474551819291e-10,3.486504177676186e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,17.884440739949543,1.289418539348238e-07,0.031049376284634625,2.2385738530351353e-10,6.950632190383229e-12,0.0015996541675013303,aggregate,3,0.19665340353483052
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,60.5643424987793,1.9820745933429862e-08,0.10514642794926961,3.4411017245537953e-11,3.6181955454690305e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,59.7696647644043,5.065819053129417e-08,0.10376677910486858,8.794824745016348e-11,9.126106365821435e-12,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,61.92177963256836,1.3847492930096905e-08,0.10750308963987562,2.4040786336973794e-11,2.584458808596791e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,60.75192896525065,2.8108809798273644e-08,0.1054720988980046,4.8800017010891745e-11,5.147040220397081e-12,0.002138600696200206,aggregate,3,1.0882514016740854
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,11.145085334777832,8.76844197250648e-08,0.01934910648398929,1.5222989535601528e-10,2.9455124552900864e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,10.946213722229004,2.113506525347475e-07,0.019003843267758686,3.6692821620615884e-10,6.9730463113001155e-12,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,11.402687072753906,6.267594443443159e-08,0.019796331723531086,1.0881240353199928e-10,2.1540864359541833e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,11.16466204325358,1.205703388980813e-07,0.019383093825093022,2.0932350503139112e-10,4.057337137820786e-12,0.0010421744176313194,aggregate,3,0.22886549668072714
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,71.33148193359375,1.1262640242648558e-07,0.1238393783569336,9.776597432854651e-11,1.2107277485307128e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,70.72420501708984,2.6573232503324107e-07,0.12278507815466987,2.3067042103579954e-10,2.832288567485125e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,72.60271453857422,8.133761753015278e-08,0.12604637940724692,7.060557077270207e-11,8.899576561881229e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,71.55280049641927,1.5323211499662648e-07,0.12422361197295012,1.3301398871234937e-10,1.6523478120777255e-11,0.0007182154310241998,aggregate,3,0.9586114620977726
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,15.46420955657959,5.37045252713142e-07,0.013423793017864227,4.661851152023802e-10,6.257972494485941e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,15.596850395202637,1.2319650295467e-06,0.01353893263472451,1.069414088148177e-09,1.447872529806351e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,16.13185691833496,3.944440436498553e-07,0.014003348019387987,3.4239934344605494e-10,4.794737167885061e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,15.730972290039062,7.211514419698991e-07,0.013655357890658908,6.259995155988707e-10,8.548247424881693e-12,0.0004913726459360785,aggregate,3,0.35345404499115834
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,8.337035179138184,5.266579137241933e-07,0.13026617467403412,4.1145149509702605e-09,5.359821233020169e-10,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,8.291279792785645,1.1823183285741834e-06,0.1295512467622757,9.236861941985808e-09,1.1966469807552765e-09,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,8.505172729492188,3.7988559142831946e-07,0.13289332389831543,2.9678561830337458e-09,3.944082730155217e-10,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,8.377829233805338,6.962872779088988e-07,0.1309035817782084,5.439744358663272e-09,7.120820205068254e-10,0.0050289267375007805,aggregate,3,0.11263064976007826
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,64.94839477539062,9.868220018915963e-08,0.05637881490919325,8.566163210864551e-11,4.82950130147273e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,66.26927947998047,2.2497742691029998e-07,0.057525416215260826,1.9529290530407983e-10,1.1234305661504711e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,68.19087982177734,7.096399201600434e-08,0.05919347206751505,6.160068751389265e-11,3.646358575693328e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,66.46951802571614,1.3154120637182132e-07,0.057699234397323045,1.1418507497553933e-10,6.58839140568955e-12,0.00034012163766077,aggregate,3,1.6304903941480688
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.011061668395996,5.126589144310856e-07,0.00955821325381597,4.45016418776984e-10,4.253561832119886e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.166322708129883,1.132580109697301e-06,0.009692988461918302,9.831424563344626e-10,9.529588485671963e-12,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.306159973144531,3.6975748685108556e-07,0.00981437497668796,3.209700406693451e-10,3.1501203354117374e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.161181449890137,6.71665503659824e-07,0.009688525564140744,5.830429719269306e-10,5.6488267385066614e-12,0.0002831177756507314,aggregate,3,0.14761631606492776
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,84.58560943603516,8.551461405659211e-07,0.07342500819100274,3.711571790650699e-10,2.725221891300223e-11,,42,3,
