model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,2.766323893394629,2.934232473373413,0.00017909133748617023,8.117037399867291,80.56,80.46,0.10000000000000853,0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,6.728590597807767,3.1429171562194824,0.00019182843971066177,21.147402827027136,80.56,80.01,0.5499999999999972,0.5499999999999972
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,6.812629736386813,0.42844146490097046,2.6149991754209623e-05,2.9188130640854784,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,5.829314245712985,0.6760720014572144,1.833962677564058e-05,3.9410361492222297,80.56,80.63,-0.06999999999999318,0.06999999999999318
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3,2.4383180848125257,3.1700360774993896,0.00019348364730831236,7.7295562972749225,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1,11.846204506259696,0.35916754603385925,2.1921847292105667e-05,4.254772202328541,80.56,80.49,0.07000000000000739,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2,16.678307203524042,0.7813042402267456,2.119423394712309e-05,13.03083213791761,80.56,80.43,0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3,4.9185622875507065,1.8495348691940308,0.00011288664973108098,9.097052457127788,80.56,80.51,0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1,40.32087395319566,0.3859567940235138,1.1778466614487115e-05,15.5621152432016,80.56,80.43,0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2,71.45773331702702,1.148950219154358,7.791817349950887e-06,82.10137835487185,80.56,80.28,0.28000000000000114,0.28000000000000114
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3,26.796972313105456,3.6423630714416504,5.557804979616776e-05,97.60430237969966,80.56,80.42,0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,41.3102943715266,2.160994529724121,1.6487079847138375e-05,89.27132015816214,80.56,80.41,0.15000000000000568,0.15000000000000568
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1,8.198962957272684,0.6478497982025146,9.885403414955363e-06,5.3116964973390015,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2,8.244018080455227,1.1354970932006836,7.70058250054717e-06,9.36105856665079,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3,7.853410943084293,2.862550735473633,4.36790578532964e-05,22.480787271102617,80.56,80.58,-0.01999999999999602,0.01999999999999602
