model,dataset,stage,layer,trace
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,0.19328186884522439
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,1.0792392045259476
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,0.061661462152474804
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,0.09471343285762347
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,0.9721313967849269
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,0.036642192862927914
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.03343657973067214
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,0.2379720147906078
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,1.0385964372057894
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,0.11520474454438365
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,0.8512696808292752
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,56.311371214846346
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,1.952448805173238
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,2.233956183706011
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,78.50765480041504
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,0.10427256878304841
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,0.2407127453423128
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,0.10946912849321962
resnet50_no_weights,CIFAR10,PTQ,fc.weight,19.394672965010006
resnet50_no_weights,CIFAR10,QAT,conv1.weight,84.90070915222168
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,1.4571821226014032
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,2.5263626733604743
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,1.1919378638267517
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,3.0007726585163788
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,2.0072069947536173
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,1.6305176236412742
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,0.6653146728088981
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,3.2957503497600555
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,4.459942724704742
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,1.2405980957878961
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,15.699439502056734
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,22.702961564064026
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,10.6335250718253
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,18.160194396972656
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,2.304965895764968
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,2.5108832253350153
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,2.9160930562019347
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,3.0879282355308533
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,2.432576666707578
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,2.8829612112962284
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,5.530330508947372
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,5.68961595234118
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,4.5106706619262695
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,35.32283096313476
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,35.79733449762518
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,17.16905512633147
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,20.322563451879166
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,8.069882881445963
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,9.196245622634887
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,7.5035062551498415
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,14.17878618694487
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,10.408952713012695
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,8.552673534913497
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,25.90054399316961
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,19.540608882904053
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,10.887908669079051
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,31.15710802078247
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,12.177631048055796
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,8.528949349014848
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,29.115780131022134
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,5.231375658512116
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,4.68879089816924
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,31.60176152893991
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,8.528458595275879
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,8.470327854156494
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,75.41568354556435
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,34.691685914993286
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,77.40479874610901
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,18.19879363564884
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,30.109815001487732
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,10.380476401402401
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,4.966899101550762
resnet50_no_weights,CIFAR10,QAT,fc.weight,4.897792847260185
