model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,0.23059678077697754
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,0.6360958814620972
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,0.06084845960140228
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.06266297399997711
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,0.25202131271362305
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,0.03183376044034958
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,0.03302006050944328
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,0.18007344007492065
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,0.0393095463514328
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,0.049292244017124176
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,0.32436588406562805
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,0.01588645949959755
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,0.039528630673885345
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,0.3347620368003845
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,0.043039336800575256
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,0.017468774691224098
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,0.11533322930335999
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,0.9802306890487671
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,0.09863755851984024
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3.weight,0.33488884568214417
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,28.672992706298828
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,0.890058696269989
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,0.8798841238021851
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3.weight,60.215576171875
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1.weight,0.052809543907642365
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2.weight,0.15240773558616638
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3.weight,0.09409725666046143
resnet50_no_weights,CIFAR10,PTQ,fc.weight,13.36756706237793
resnet50_no_weights,CIFAR10,QAT,conv1.weight,32.14997100830078
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,0.41501542925834656
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,0.7357891201972961
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,0.17019495368003845
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,0.5618280172348022
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,0.7244338989257812
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,0.3948054313659668
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,0.13584622740745544
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,0.8407020568847656
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,1.0679923295974731
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,0.6771368980407715
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,9.305658340454102
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,5.870057106018066
